Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
ATL,19,3.6%,18,19,-0.2%,16,7.0%,27,-2.3%,21,3.4%,17,8.7%,23,-6.1%,5,3.2%,25,-2.3%
MIA,20,3.8%,28,25,7.1%,19,11.2%,23,-6.2%,20,3.4%,15,8.0%,27,-2.9%,26,6.9%,23,-1.8%
MIA,20,3.8%,28,25,7.1%,19,11.2%,23,-6.2%,20,3.4%,15,8.0%,27,-2.9%,26,6.9%,23,-1.8%
GB,21,3.8%,9,23,6.4%,22,14.9%,15,-14.1%,22,3.5%,24,15.9%,14,-16.4%,25,6.4%,15,0.2%
GB,21,3.8%,9,23,6.4%,22,14.9%,15,-14.1%,22,3.5%,24,15.9%,14,-16.4%,25,6.4%,15,0.2%
CHI,22,5.4%,31,24,6.5%,18,9.2%,28,0.0%,25,7.1%,21,13.0%,28,-1.2%,17,5.1%,12,0.5%
CHI,22,5.4%,31,24,6.5%,18,9.2%,28,0.0%,25,7.1%,21,13.0%,28,-1.2%,17,5.1%,12,0.5%
NYJ,23,5.4%,6,21,3.0%,32,30.7%,1,-28.6%,27,8.1%,31,31.0%,5,-22.7%,24,6.4%,10,1.1%
NYJ,23,5.4%,6,21,3.0%,32,30.7%,1,-28.6%,27,8.1%,31,31.0%,5,-22.7%,24,6.4%,10,1.1%
OAK,24,5.6%,16,20,3.0%,25,17.5%,18,-9.5%,23,5.7%,23,15.7%,22,-6.9%,4,2.8%,21,-0.7%
OAK,24,5.6%,16,20,3.0%,25,17.5%,18,-9.5%,23,5.7%,23,15.7%,22,-6.9%,4,2.8%,21,-0.7%
WAS,25,7.0%,21,26,7.4%,23,16.2%,24,-5.4%,28,8.3%,25,16.8%,26,-3.3%,1,1.6%,13,0.4%
WAS,25,7.0%,21,26,7.4%,23,16.2%,24,-5.4%,28,8.3%,25,16.8%,26,-3.3%,1,1.6%,13,0.4%
TEN,26,7.6%,23,27,8.9%,28,22.0%,9,-18.7%,19,3.3%,27,18.2%,4,-23.9%,18,5.2%,31,-4.2%
TEN,26,7.6%,23,27,8.9%,28,22.0%,9,-18.7%,19,3.3%,27,18.2%,4,-23.9%,18,5.2%,31,-4.2%
BUF,27,9.4%,24,28,9.7%,24,17.5%,29,0.1%,26,7.7%,22,14.0%,30,0.5%,29,7.7%,30,-3.3%
BUF,27,9.4%,24,28,9.7%,24,17.5%,29,0.1%,26,7.7%,22,14.0%,30,0.5%,29,7.7%,30,-3.3%
NO,28,10.4%,32,29,9.7%,27,21.8%,20,-7.7%,24,6.6%,28,19.3%,16,-13.2%,6,3.4%,24,-2.1%
NO,28,10.4%,32,29,9.7%,27,21.8%,20,-7.7%,24,6.6%,28,19.3%,16,-13.2%,6,3.4%,24,-2.1%
IND,29,13.0%,15,22,6.3%,26,18.9%,32,3.7%,29,10.6%,26,17.3%,29,-0.1%,21,5.6%,27,-3.1%
IND,29,13.0%,15,22,6.3%,26,18.9%,32,3.7%,29,10.6%,26,17.3%,29,-0.1%,21,5.6%,27,-3.1%
SF,30,14.0%,26,31,14.9%,29,25.1%,31,2.9%,31,13.5%,29,22.1%,31,4.9%,8,3.6%,26,-2.3%
SF,30,14.0%,26,31,14.9%,29,25.1%,31,2.9%,31,13.5%,29,22.1%,31,4.9%,8,3.6%,26,-2.3%
DET,31,14.0%,13,30,11.8%,30,28.7%,21,-7.3%,30,13.5%,30,30.3%,18,-10.9%,22,6.1%,20,-0.5%
DET,31,14.0%,13,30,11.8%,30,28.7%,21,-7.3%,30,13.5%,30,30.3%,18,-10.9%,22,6.1%,20,-0.5%
CLE,32,16.4%,30,32,15.2%,31,30.1%,30,1.1%,32,21.0%,32,34.1%,32,6.4%,14,4.6%,2,4.3%
CLE,32,16.4%,30,32,15.2%,31,30.1%,30,1.1%,32,21.0%,32,34.1%,32,6.4%,14,4.6%,2,4.3%
