Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DEN,1,-17.2%,1,1,-19.6%,1,-24.5%,19,-8.4%,2,-15.1%,1,-19.4%,20,-10.0%,23,6.2%,3,4.0%
DEN,1,-17.2%,1,1,-19.6%,1,-24.5%,19,-8.4%,2,-15.1%,1,-19.4%,20,-10.0%,23,6.2%,3,4.0%
ARI,2,-17.1%,2,3,-14.8%,2,-12.5%,7,-23.6%,1,-16.5%,2,-13.2%,9,-21.3%,19,5.5%,28,-3.2%
ARI,2,-17.1%,2,3,-14.8%,2,-12.5%,7,-23.6%,1,-16.5%,2,-13.2%,9,-21.3%,19,5.5%,28,-3.2%
NYG,3,-13.9%,27,2,-16.8%,5,-4.7%,2,-27.2%,5,-10.7%,5,-1.5%,3,-24.0%,10,4.5%,5,2.6%
NYG,3,-13.9%,27,2,-16.8%,5,-4.7%,2,-27.2%,5,-10.7%,5,-1.5%,3,-24.0%,10,4.5%,5,2.6%
PHI,4,-11.0%,20,10,-6.1%,3,-7.6%,14,-15.9%,6,-8.1%,4,-2.7%,15,-16.1%,32,8.2%,1,5.3%
PHI,4,-11.0%,20,10,-6.1%,3,-7.6%,14,-15.9%,6,-8.1%,4,-2.7%,15,-16.1%,32,8.2%,1,5.3%
SEA,5,-10.1%,4,7,-6.6%,13,3.7%,5,-25.8%,4,-11.1%,9,1.9%,1,-25.8%,16,5.0%,29,-3.3%
SEA,5,-10.1%,4,7,-6.6%,13,3.7%,5,-25.8%,4,-11.1%,9,1.9%,1,-25.8%,16,5.0%,29,-3.3%
BAL,6,-9.5%,22,12,-5.4%,10,1.1%,3,-26.7%,8,-6.5%,14,4.7%,2,-24.4%,27,7.4%,4,3.1%
BAL,6,-9.5%,22,12,-5.4%,10,1.1%,3,-26.7%,8,-6.5%,14,4.7%,2,-24.4%,27,7.4%,4,3.1%
MIN,7,-9.4%,14,15,-3.5%,6,-3.9%,10,-17.4%,3,-11.4%,3,-4.4%,8,-21.4%,20,5.5%,9,1.1%
MIN,7,-9.4%,14,15,-3.5%,6,-3.9%,10,-17.4%,3,-11.4%,3,-4.4%,8,-21.4%,20,5.5%,9,1.1%
HOU,8,-8.0%,7,4,-8.0%,4,-6.6%,17,-10.1%,10,-5.5%,6,-1.4%,17,-11.3%,12,4.5%,6,2.4%
HOU,8,-8.0%,7,4,-8.0%,4,-6.6%,17,-10.1%,10,-5.5%,6,-1.4%,17,-11.3%,12,4.5%,6,2.4%
SD,9,-6.3%,29,5,-7.6%,9,0.4%,13,-16.1%,7,-7.0%,8,-0.2%,13,-17.0%,3,2.0%,14,0.3%
SD,9,-6.3%,29,5,-7.6%,9,0.4%,13,-16.1%,7,-7.0%,8,-0.2%,13,-17.0%,3,2.0%,14,0.3%
CAR,10,-4.4%,3,11,-6.1%,11,3.2%,12,-16.8%,15,-1.7%,18,9.0%,11,-19.2%,7,3.4%,8,1.6%
CAR,10,-4.4%,3,11,-6.1%,11,3.2%,12,-16.8%,15,-1.7%,18,9.0%,11,-19.2%,7,3.4%,8,1.6%
PIT,11,-3.0%,12,9,-6.2%,12,3.7%,16,-13.2%,14,-1.9%,12,3.8%,19,-10.7%,31,7.9%,11,0.9%
PIT,11,-3.0%,12,9,-6.2%,12,3.7%,16,-13.2%,14,-1.9%,12,3.8%,19,-10.7%,31,7.9%,11,0.9%
TB,12,-2.8%,19,8,-6.3%,8,-1.1%,25,-5.1%,17,-0.3%,10,2.1%,24,-3.6%,30,7.9%,7,1.7%
TB,12,-2.8%,19,8,-6.3%,8,-1.1%,25,-5.1%,17,-0.3%,10,2.1%,24,-3.6%,30,7.9%,7,1.7%
KC,13,-2.6%,8,16,-1.8%,7,-1.5%,26,-4.2%,11,-4.3%,7,-1.3%,21,-8.4%,28,7.6%,18,-0.3%
KC,13,-2.6%,8,16,-1.8%,7,-1.5%,26,-4.2%,11,-4.3%,7,-1.3%,21,-8.4%,28,7.6%,18,-0.3%
DAL,14,-2.2%,17,14,-3.8%,14,6.7%,8,-19.1%,16,-1.0%,19,9.1%,10,-20.0%,15,5.0%,16,0.1%
DAL,14,-2.2%,17,14,-3.8%,14,6.7%,8,-19.1%,16,-1.0%,19,9.1%,10,-20.0%,15,5.0%,16,0.1%
JAX,15,-2.1%,25,13,-3.9%,17,9.2%,11,-17.3%,12,-2.9%,16,8.6%,12,-18.3%,9,4.4%,19,-0.4%
JAX,15,-2.1%,25,13,-3.9%,17,9.2%,11,-17.3%,12,-2.9%,16,8.6%,12,-18.3%,9,4.4%,19,-0.4%
NE,16,-1.6%,11,6,-7.3%,21,14.7%,4,-26.6%,9,-6.0%,13,4.5%,6,-22.1%,11,4.5%,32,-6.8%
NE,16,-1.6%,11,6,-7.3%,21,14.7%,4,-26.6%,9,-6.0%,13,4.5%,6,-22.1%,11,4.5%,32,-6.8%
LAR,17,-1.5%,5,18,-0.3%,20,14.0%,6,-24.1%,13,-2.1%,20,11.7%,7,-22.1%,2,1.8%,17,0.0%
LAR,17,-1.5%,5,18,-0.3%,20,14.0%,6,-24.1%,13,-2.1%,20,11.7%,7,-22.1%,2,1.8%,17,0.0%
CIN,18,1.4%,10,17,-0.8%,15,6.8%,22,-6.7%,18,0.7%,11,3.4%,25,-3.4%,13,4.6%,22,-0.8%
CIN,18,1.4%,10,17,-0.8%,15,6.8%,22,-6.7%,18,0.7%,11,3.4%,25,-3.4%,13,4.6%,22,-0.8%
ATL,19,3.6%,18,19,-0.2%,16,7.0%,27,-2.3%,21,3.4%,17,8.7%,23,-6.1%,5,3.2%,25,-2.3%
