Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
ATL,1,25.1%,22,1,24.9%,1,51.1%,4,2.4%,1,23.8%,2,47.7%,5,4.0%,6,3.5%,3,-2.2%
NE,2,21.2%,5,2,23.1%,2,48.3%,10,-2.1%,2,23.1%,1,50.2%,8,-0.2%,14,5.9%,16,0.2%
DAL,3,20.2%,30,4,19.3%,3,41.7%,2,7.3%,3,19.4%,4,36.9%,2,10.4%,22,7.2%,13,-0.3%
GB,4,16.6%,11,3,22.3%,4,36.2%,17,-8.5%,4,16.5%,3,38.1%,21,-12.4%,19,6.7%,17,0.3%
WAS,5,15.5%,12,5,19.1%,5,35.3%,5,1.8%,7,13.2%,5,33.4%,9,-1.5%,21,7.0%,1,-3.5%
NO,6,15.2%,8,7,13.6%,7,31.6%,3,5.1%,6,13.3%,8,29.0%,4,4.3%,11,5.0%,2,-2.6%
OAK,7,12.8%,17,10,7.2%,6,34.7%,7,-0.8%,10,10.3%,7,29.3%,7,0.6%,17,6.3%,4,-2.2%
PIT,8,12.7%,3,6,13.9%,8,30.3%,6,1.0%,5,15.9%,6,32.7%,3,5.6%,30,10.1%,28,1.5%
TEN,9,10.8%,32,8,12.7%,9,30.2%,9,-1.4%,9,12.3%,9,28.4%,6,3.6%,15,6.3%,27,1.2%
BUF,10,10.5%,9,9,10.2%,17,14.6%,1,11.7%,8,12.6%,15,18.8%,1,11.7%,18,6.6%,20,0.6%
CIN,11,7.3%,2,11,5.8%,10,23.3%,12,-4.0%,11,6.3%,11,21.7%,11,-4.4%,25,9.0%,7,-1.3%
IND,12,3.3%,31,13,5.0%,15,16.9%,15,-6.6%,13,1.3%,17,15.8%,17,-10.4%,9,4.5%,11,-0.6%
KC,13,3.1%,6,12,5.7%,12,22.2%,20,-10.5%,14,0.9%,14,19.0%,19,-11.2%,20,6.8%,8,-1.0%
MIA,14,1.5%,23,14,3.4%,16,16.5%,16,-7.9%,12,4.2%,12,21.7%,15,-8.1%,29,9.8%,24,1.2%
DET,15,-0.7%,13,19,-3.7%,13,18.5%,28,-23.9%,16,-1.5%,16,18.4%,28,-26.1%,13,5.7%,15,-0.1%
SEA,16,-2.5%,1,17,-2.8%,14,16.9%,25,-16.7%,15,0.3%,10,22.6%,24,-18.0%,31,10.2%,18,0.5%
CHI,17,-2.8%,10,16,-1.7%,21,7.7%,13,-4.9%,17,-1.9%,20,9.6%,12,-5.2%,27,9.3%,26,1.2%
SD,18,-3.3%,16,24,-9.0%,18,13.5%,23,-14.7%,21,-4.5%,19,10.2%,22,-13.1%,24,7.3%,19,0.6%
TB,19,-3.9%,18,18,-3.5%,11,22.4%,30,-27.4%,22,-4.8%,13,19.9%,29,-26.3%,8,4.4%,10,-0.8%
PHI,20,-5.2%,26,21,-6.9%,23,4.4%,11,-3.3%,20,-4.2%,21,8.4%,14,-6.6%,7,3.9%,12,-0.3%
NYG,21,-5.7%,19,22,-6.9%,22,5.4%,24,-16.5%,23,-5.3%,23,5.1%,23,-15.1%,2,2.4%,23,1.0%
ARI,22,-6.2%,4,20,-4.7%,28,-4.2%,8,-1.0%,18,-3.3%,26,1.9%,10,-2.9%,23,7.2%,30,1.6%
BAL,23,-7.2%,21,15,-0.1%,27,0.4%,19,-10.2%,19,-3.7%,24,3.9%,13,-6.4%,26,9.2%,31,1.9%
SF,24,-7.3%,28,23,-7.0%,26,1.3%,18,-10.1%,26,-10.1%,25,3.8%,26,-19.6%,12,5.0%,5,-1.9%
CAR,25,-8.3%,7,27,-12.8%,25,1.6%,21,-10.5%,24,-9.4%,28,-2.2%,16,-8.6%,3,3.1%,9,-0.9%
MIN,26,-9.7%,15,26,-11.2%,19,9.4%,29,-25.0%,25,-9.9%,18,10.6%,30,-27.4%,16,6.3%,22,1.0%
JAX,27,-11.5%,20,25,-10.9%,20,8.1%,32,-34.0%,27,-11.3%,22,5.6%,32,-28.8%,4,3.3%,24,1.2%
DEN,28,-12.0%,24,29,-17.0%,24,3.3%,26,-22.9%,28,-11.5%,27,1.8%,27,-19.6%,9,4.5%,21,0.7%
CLE,29,-13.6%,27,28,-14.8%,29,-8.8%,14,-5.2%,29,-16.0%,29,-9.5%,18,-10.9%,5,3.3%,6,-1.5%
HOU,30,-21.1%,25,30,-19.8%,30,-16.5%,27,-23.0%,30,-17.5%,30,-13.4%,25,-18.7%,1,2.2%,32,1.9%
NYJ,31,-22.3%,14,31,-27.5%,31,-24.0%,22,-10.5%,31,-20.5%,31,-19.8%,20,-11.8%,28,9.7%,29,1.5%
LAR,32,-38.1%,29,32,-46.4%,32,-36.3%,31,-29.6%,32,-35.6%,32,-33.2%,31,-27.8%,32,13.2%,14,-0.2%
