Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DET,1,-16.7%,12,6,-11.9%,4,-6.6%,1,-35.1%,1,-15.5%,5,-3.1%,1,-38.0%,10,4.8%,11,0.7%
SEA,2,-16.0%,1,1,-20.1%,3,-7.6%,3,-27.6%,4,-11.6%,6,-1.4%,3,-25.6%,19,6.6%,16,-0.2%
BUF,3,-15.7%,4,2,-19.6%,1,-16.8%,12,-14.1%,2,-14.7%,1,-14.4%,10,-15.1%,12,5.2%,4,2.2%
DEN,4,-12.3%,15,5,-12.6%,7,-4.0%,2,-28.3%,5,-9.7%,7,-0.9%,2,-26.7%,1,1.7%,22,-1.2%
SF,5,-9.6%,13,7,-9.8%,6,-5.6%,10,-15.3%,6,-7.2%,4,-4.1%,16,-11.7%,31,9.4%,8,1.4%
HOU,6,-9.3%,16,3,-16.3%,2,-8.4%,16,-10.8%,3,-13.5%,2,-13.8%,11,-13.0%,22,7.0%,32,-5.6%
ARI,7,-8.8%,2,11,-6.7%,9,0.7%,4,-24.3%,7,-7.0%,8,0.7%,6,-19.7%,13,5.8%,6,2.1%
STL,8,-6.9%,8,4,-14.4%,11,3.8%,5,-21.9%,8,-7.0%,11,2.3%,5,-20.1%,30,8.9%,14,0.0%
BAL,9,-4.3%,9,12,-5.4%,17,6.9%,6,-21.4%,9,-5.7%,17,7.0%,4,-25.2%,15,5.9%,23,-1.4%
PHI,10,-3.1%,22,13,-4.7%,19,9.6%,7,-19.4%,11,-3.0%,20,9.7%,7,-19.4%,27,7.7%,24,-1.5%
IND,11,-2.5%,17,9,-7.4%,10,2.6%,18,-9.3%,10,-3.3%,10,2.2%,17,-10.6%,29,8.7%,26,-2.1%
NE,12,-2.0%,20,14,-4.2%,15,5.4%,13,-12.6%,14,-1.5%,16,6.2%,13,-12.4%,26,7.7%,15,0.0%
CLE,13,-2.0%,27,10,-6.8%,5,-5.6%,31,2.2%,12,-2.7%,3,-4.3%,28,-0.8%,23,7.4%,25,-1.9%
CIN,14,-1.2%,5,16,-3.0%,8,-1.5%,27,-0.7%,17,0.3%,13,3.8%,24,-4.3%,32,10.3%,10,1.0%
CAR,15,-0.9%,3,8,-7.8%,14,5.3%,17,-10.1%,19,2.2%,18,9.2%,19,-8.4%,25,7.5%,5,2.1%
GB,16,0.0%,31,20,-0.7%,13,4.9%,22,-6.5%,15,-0.8%,9,1.9%,23,-4.4%,24,7.5%,21,-1.1%
MIA,17,1.4%,18,27,7.7%,18,8.1%,21,-6.7%,16,-0.4%,14,6.0%,20,-7.9%,28,8.6%,19,-0.4%
DAL,18,1.5%,29,17,-1.1%,16,6.8%,23,-6.2%,13,-2.3%,12,2.6%,18,-9.4%,21,7.0%,30,-4.2%
TB,19,2.0%,10,15,-3.2%,24,15.9%,11,-14.8%,20,2.7%,23,18.1%,9,-16.1%,20,6.7%,3,2.2%
KC,20,2.3%,11,19,-0.8%,12,4.6%,29,-0.7%,21,3.6%,15,6.1%,31,0.2%,8,4.7%,9,1.3%
JAX,21,2.8%,30,18,-1.0%,20,10.3%,24,-6.0%,18,1.5%,19,9.3%,22,-7.7%,14,5.8%,17,-0.2%
NYJ,22,4.5%,14,22,4.5%,25,18.9%,9,-15.7%,25,8.5%,29,23.5%,12,-12.7%,3,3.3%,1,3.7%
MIN,23,5.5%,24,25,6.5%,21,11.0%,25,-1.3%,22,5.0%,22,10.5%,27,-1.7%,2,2.9%,12,0.3%
SD,24,6.2%,32,21,2.4%,26,20.6%,14,-12.1%,23,5.4%,25,19.3%,14,-12.4%,9,4.8%,18,-0.3%
NYG,25,6.7%,6,23,6.0%,22,12.5%,26,-1.3%,24,7.2%,21,10.0%,32,3.3%,17,6.1%,27,-2.3%
OAK,26,8.0%,28,26,7.0%,30,24.8%,15,-11.4%,30,12.0%,32,29.2%,21,-7.7%,4,3.5%,2,2.9%
NO,27,8.7%,7,24,6.2%,23,14.7%,30,0.8%,28,10.2%,24,18.4%,30,-0.3%,16,6.0%,13,0.2%
WAS,28,10.9%,21,32,15.8%,32,30.2%,8,-15.9%,27,9.5%,31,29.0%,8,-17.6%,11,5.2%,29,-3.1%
CHI,29,11.4%,25,31,15.8%,29,24.4%,20,-6.8%,32,12.4%,30,24.3%,25,-4.3%,18,6.3%,7,2.0%
PIT,30,12.5%,23,28,10.2%,31,26.8%,19,-9.2%,26,8.5%,27,22.0%,15,-11.8%,5,3.7%,31,-4.5%
ATL,31,13.1%,26,29,11.2%,28,23.5%,28,-0.7%,31,12.3%,28,22.9%,26,-1.9%,7,4.6%,20,-1.1%
TEN,32,13.2%,19,30,14.0%,27,22.5%,32,2.4%,29,10.3%,26,20.0%,29,-0.8%,6,4.2%,28,-2.8%
