Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,27.9%,2,1,27.9%,1,45.7%,2,12.9%,1,30.0%,1,48.6%,1,13.9%,6,4.5%,28,2.8%
NO,2,22.4%,6,2,20.8%,7,33.2%,1,13.5%,2,21.9%,7,33.1%,2,12.5%,10,5.1%,22,1.2%
PIT,3,17.5%,8,3,18.6%,5,33.8%,6,2.4%,3,19.6%,3,38.3%,5,1.2%,7,4.6%,19,0.2%
KC,4,16.4%,13,7,10.5%,6,33.7%,4,3.3%,4,18.5%,4,37.8%,4,2.5%,28,10.5%,26,1.9%
MIN,5,12.5%,26,6,11.7%,3,38.3%,17,-10.7%,6,11.9%,5,37.8%,17,-11.3%,3,4.2%,13,-1.1%
LAR,6,11.3%,32,5,11.8%,8,30.9%,7,0.4%,8,10.0%,9,29.1%,7,-0.3%,26,10.1%,3,-3.1%
PHI,7,10.5%,20,8,8.5%,4,35.4%,18,-10.7%,7,11.2%,6,35.1%,15,-8.8%,16,7.6%,17,0.0%
LAC,8,10.3%,18,4,12.6%,2,39.3%,21,-14.9%,5,15.5%,2,47.8%,21,-13.7%,11,6.0%,30,3.1%
ATL,9,8.5%,1,10,6.1%,9,29.4%,14,-8.9%,9,8.8%,10,28.2%,12,-6.6%,2,3.6%,20,0.2%
DAL,10,6.6%,3,12,5.6%,18,10.7%,3,6.5%,10,5.7%,17,8.7%,3,6.8%,24,9.6%,15,-0.7%
TB,11,5.2%,19,13,4.8%,10,28.7%,25,-19.2%,15,0.8%,12,21.6%,26,-19.2%,5,4.5%,11,-1.4%
DET,12,4.1%,15,11,5.7%,12,24.1%,30,-24.4%,16,0.8%,13,20.6%,32,-27.4%,1,3.1%,4,-2.9%
OAK,13,3.6%,7,19,-2.2%,13,18.9%,10,-4.8%,12,3.1%,14,18.7%,10,-5.6%,30,12.3%,25,1.4%
SEA,14,2.2%,16,14,4.3%,11,28.6%,32,-28.1%,13,3.0%,8,29.3%,31,-26.9%,18,7.9%,10,-1.7%
JAX,15,0.4%,27,18,-0.2%,15,15.2%,12,-6.6%,11,4.2%,11,23.3%,13,-7.0%,20,8.5%,21,0.6%
GB,16,0.0%,4,20,-4.7%,20,4.7%,8,0.3%,19,-3.2%,25,0.8%,8,-1.7%,23,9.6%,2,-3.2%
CAR,17,-0.1%,25,15,2.2%,17,11.0%,11,-6.2%,14,1.1%,15,15.6%,14,-8.5%,27,10.2%,24,1.4%
TEN,18,-2.1%,9,21,-7.3%,19,5.3%,9,-2.3%,18,-3.1%,22,4.3%,9,-3.4%,29,11.5%,14,-0.8%
SF,19,-3.0%,24,9,6.4%,16,12.2%,16,-10.4%,21,-6.8%,21,4.5%,16,-8.9%,22,9.3%,1,-4.1%
WAS,20,-3.8%,5,23,-9.3%,14,15.4%,29,-21.8%,20,-5.5%,16,12.8%,28,-22.2%,25,9.7%,8,-2.3%
BAL,21,-4.6%,23,16,0.9%,27,-5.0%,5,2.5%,17,-0.3%,20,4.8%,6,0.5%,17,7.9%,23,1.2%
CIN,22,-6.9%,11,17,0.5%,24,2.2%,19,-13.1%,25,-9.8%,27,-0.3%,25,-16.5%,32,16.2%,6,-2.6%
NYG,23,-9.4%,21,24,-10.5%,23,3.2%,26,-19.2%,24,-9.8%,26,0.2%,24,-15.8%,9,5.0%,12,-1.2%
HOU,24,-10.1%,30,29,-14.9%,22,3.3%,23,-16.7%,26,-9.9%,24,2.3%,22,-15.2%,15,7.4%,16,-0.5%
NYJ,25,-10.7%,31,22,-9.0%,21,4.0%,27,-21.1%,23,-9.5%,19,5.2%,27,-20.0%,13,6.1%,29,3.0%
BUF,26,-11.1%,10,28,-13.6%,26,-3.1%,20,-14.7%,22,-7.1%,23,2.7%,20,-12.5%,12,6.1%,32,5.0%
MIA,27,-13.6%,14,27,-13.3%,25,-0.7%,28,-21.8%,27,-10.0%,18,6.4%,29,-23.4%,19,8.5%,27,2.7%
CHI,28,-15.0%,17,25,-11.1%,29,-9.7%,15,-9.8%,30,-16.9%,30,-11.3%,18,-12.2%,31,12.3%,7,-2.6%
ARI,29,-18.1%,22,31,-18.3%,28,-5.9%,31,-27.6%,29,-15.9%,28,-3.9%,30,-24.9%,4,4.4%,18,0.2%
IND,30,-18.3%,12,26,-12.1%,30,-11.4%,24,-17.5%,31,-19.2%,31,-14.6%,23,-15.5%,8,4.9%,5,-2.7%
DEN,31,-18.7%,28,32,-25.8%,31,-14.7%,22,-15.2%,28,-15.4%,29,-11.0%,19,-12.3%,21,8.7%,31,4.8%
CLE,32,-20.1%,29,30,-15.4%,32,-23.9%,13,-6.8%,32,-23.1%,32,-29.1%,11,-6.1%,14,7.2%,9,-2.2%
