Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
PHI,1,8.3%,25,3,8.4%,3.5,9.8,12.3,1.7,14.2,1,23.5,28,-3.9,1,7.5%
BAL,2,8.0%,3,1,9.9%,5.3,8.3,10.2,17.9,-1.9,24,-3.2,20,-2.9,2,7.4%
KC,3,6.7%,1,2,9.2%,-1.5,-2.7,12.4,11.6,13.7,15,0.1,23,-3.3,3,6.1%
BUF,4,6.2%,30,6,5.8%,8.5,7.9,5.3,2.2,7.1,14,1.4,22,-3.3,4,5.5%
NE,5,5.7%,2,5,5.9%,10.8,8.4,0.5,0.2,8.4,3,8.9,30,-4.7,5,4.7%
CIN,6,4.2%,12,7,5.3%,-2.6,0.3,4.2,12.1,6.8,7,5.5,31,-5.4,9,3.1%
STL,7,3.5%,4,4,6.2%,-4.7,0.1,-1.2,11.3,12.1,10,4.4,7,3.6,6,4.2%
IND,8,3.3%,18,9,2.7%,8.4,4.9,0.4,11.2,-8.5,12,2.4,10,2.9,8,3.8%
ATL,9,3.0%,17,10,2.5%,8.8,-6.2,-0.3,5.2,7.7,20,-1.2,5,4.2,7,3.9%
MIN,10,3.0%,6,8,4.5%,-3.6,6.0,5.5,3.4,3.7,5,7.2,21,-3.2,11,2.4%
NO,11,1.6%,24,11,2.1%,-4.1,-2.5,4.0,13.4,-2.6,32,-23.1,4,4.8,10,2.6%
PIT,12,0.9%,16,14,1.5%,2.5,-2.6,-4.6,3.2,5.8,31,-13.5,27,-3.9,13,0.1%
DAL,13,0.9%,8,13,1.7%,5.3,5.0,-3.0,-0.6,-2.5,11,3.1,16,0.2,12,0.9%
CLE,14,0.4%,14,15,1.2%,-6.2,10.4,-5.5,9.9,-6.6,29,-10.9,26,-3.6,15,-0.3%
NYG,15,-0.6%,28,16,1.1%,3.7,7.0,-5.9,-5.2,-2.8,30,-13.3,25,-3.4,17,-1.3%
NYJ,16,-0.8%,10,21,-1.8%,0.5,4.8,-0.8,0.8,-9.0,22,-2.6,29,-4.3,19,-1.6%
TB,17,-0.8%,22,12,1.9%,1.7,-1.4,-3.5,-0.6,-0.3,9,4.6,12,1.9,16,-0.5%
OAK,18,-1.7%,31,24,-3.2%,8.2,-5.4,-9.3,2.7,-4.7,6,6.3,17,-0.9,20,-1.9%
SEA,19,-1.7%,5,19,-1.6%,0.8,4.5,-7.5,-4.0,-2.4,8,5.3,24,-3.4,23,-2.4%
TEN,20,-1.8%,26,17,-0.6%,-0.1,-9.4,1.1,2.8,-3.3,28,-9.5,14,1.2,18,-1.6%
ARI,21,-2.2%,27,26,-3.6%,0.0,2.0,-6.2,-9.6,3.0,18,-0.3,1,10.1,14,-0.2%
GB,22,-2.3%,19,30,-4.5%,-2.9,-7.0,-2.9,-9.4,10.5,16,0.1,32,-5.4,26,-3.4%
SD,23,-2.7%,15,31,-4.6%,0.6,-8.3,-1.4,-3.0,-1.6,19,-0.4,13,1.7,24,-2.4%
SF,24,-3.0%,7,20,-1.7%,-2.0,0.7,-0.8,-8.3,-4.8,25,-6.4,6,3.8,22,-2.3%
CHI,25,-3.1%,11,18,-1.5%,-5.9,0.2,1.6,-6.9,-4.3,21,-1.4,19,-2.7,28,-3.6%
JAX,26,-3.6%,9,22,-2.8%,-1.8,2.6,0.5,-13.2,-6.2,23,-3.0,15,0.7,27,-3.5%
DEN,27,-3.7%,21,25,-3.5%,-4.4,-6.3,6.3,-7.7,-6.3,4,7.8,2,7.5,21,-2.2%
HOU,28,-3.9%,29,23,-2.9%,0.5,-2.0,-5.2,-6.5,-6.1,13,2.3,3,5.1,25,-2.8%
WAS,29,-5.4%,32,28,-4.2%,-0.5,-10.1,-4.0,-8.0,-4.1,27,-8.4,18,-1.3,32,-5.6%
CAR,30,-5.5%,13,32,-7.4%,-0.2,-2.2,2.3,-23.1,-4.1,17,0.0,11,2.6,29,-4.9%
DET,31,-5.7%,20,27,-3.9%,-19.6,-4.0,-1.7,-0.6,-2.5,26,-6.6,8,3.0,30,-5.1%
MIA,32,-6.1%,23,29,-4.5%,-8.8,-12.6,0.1,-4.3,-4.8,2,15.3,9,2.9,31,-5.5%
