Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
KC,1,35.4%,4,1,30.7%,1,63.5%,3,9.1%,1,34.3%,1,61.2%,3,9.8%,24,8.4%,16,-0.2%
LAR,2,25.0%,6,2,20.7%,5,33.7%,1,20.6%,2,24.6%,6,33.1%,1,20.5%,28,10.3%,12,-0.6%
LAC,3,20.8%,8,4,16.4%,2,40.2%,4,5.5%,3,21.4%,2,38.6%,4,8.7%,7,4.8%,21,0.9%
NO,4,16.1%,2,7,12.8%,3,34.1%,6,3.5%,4,17.7%,4,36.8%,7,3.9%,19,7.4%,32,3.6%
NE,5,14.7%,1,3,16.7%,4,33.9%,8,1.7%,5,14.1%,5,33.2%,9,1.0%,5,4.2%,5,-2.5%
PIT,6,14.3%,3,6,13.5%,8,27.5%,12,-6.6%,6,13.4%,9,24.7%,11,-3.8%,15,7.0%,24,1.3%
GB,7,11.2%,16,10,10.0%,10,22.5%,7,2.8%,10,9.3%,14,18.8%,6,4.6%,14,6.9%,4,-2.9%
SEA,8,9.1%,14,9,11.3%,6,33.5%,9,-1.7%,8,11.1%,3,37.6%,10,-1.3%,8,4.9%,15,-0.2%
ATL,9,8.9%,9,11,8.0%,7,28.6%,22,-15.9%,7,11.8%,7,31.0%,18,-12.0%,26,9.4%,30,2.4%
IND,10,7.9%,30,5,14.2%,11,22.2%,13,-6.7%,11,7.7%,10,23.0%,15,-8.5%,12,6.4%,13,-0.4%
CAR,11,6.0%,17,13,3.1%,18,11.6%,2,9.5%,9,10.6%,15,18.5%,2,11.1%,22,8.0%,31,3.0%
TB,12,5.9%,11,12,3.7%,9,25.5%,27,-20.3%,12,4.9%,8,27.0%,31,-26.2%,11,6.2%,18,0.2%
BAL,13,1.2%,21,19,-0.9%,14,16.1%,10,-2.4%,14,2.4%,16,14.2%,8,2.1%,2,3.0%,29,2.4%
NYG,14,1.1%,23,15,2.6%,15,14.5%,11,-6.5%,18,-1.4%,17,13.4%,17,-11.2%,9,5.8%,10,-1.1%
DEN,15,0.8%,31,20,-1.0%,25,2.4%,5,4.3%,13,3.0%,23,4.8%,5,6.3%,6,4.5%,27,2.0%
PHI,16,-0.4%,7,14,2.7%,13,18.6%,23,-16.1%,17,0.7%,12,19.3%,23,-14.2%,3,3.6%,17,0.1%
CLE,17,-0.7%,32,8,11.5%,21,9.0%,17,-8.1%,15,1.4%,18,12.2%,14,-7.4%,18,7.2%,25,1.6%
MIN,18,-1.2%,5,17,-0.6%,17,13.0%,24,-16.6%,22,-5.5%,20,8.6%,27,-20.9%,1,2.9%,9,-1.2%
HOU,19,-2.8%,24,16,-0.5%,12,21.9%,28,-20.8%,19,-2.8%,11,21.3%,25,-19.8%,20,7.5%,8,-1.8%
CHI,20,-3.1%,28,22,-3.5%,16,14.3%,21,-14.8%,16,0.8%,13,19.2%,19,-12.1%,23,8.1%,28,2.2%
CIN,21,-3.7%,22,25,-10.6%,20,11.0%,14,-7.3%,20,-3.0%,19,11.8%,13,-6.7%,21,7.8%,20,0.7%
DET,22,-5.2%,12,21,-2.3%,22,4.3%,19,-13.2%,24,-7.3%,26,0.4%,21,-12.7%,17,7.0%,3,-3.0%
TEN,23,-5.6%,18,18,-0.9%,23,3.8%,16,-7.6%,23,-6.5%,22,6.5%,20,-12.4%,25,9.1%,2,-3.5%
DAL,24,-6.3%,10,23,-4.9%,26,2.2%,18,-10.6%,21,-3.4%,24,3.8%,12,-5.8%,4,3.8%,26,2.0%
OAK,25,-7.7%,13,24,-9.7%,19,11.2%,25,-17.2%,25,-10.1%,21,7.8%,24,-18.5%,29,11.9%,14,-0.3%
MIA,26,-9.5%,27,26,-12.7%,27,-2.5%,15,-7.4%,26,-14.7%,29,-9.4%,16,-10.7%,32,16.3%,6,-2.1%
SF,27,-15.8%,19,28,-17.0%,24,3.1%,30,-24.8%,27,-14.8%,25,2.4%,28,-21.5%,16,7.0%,19,0.6%
WAS,28,-19.8%,20,31,-29.6%,29,-13.5%,20,-14.7%,28,-15.4%,27,-6.7%,22,-13.4%,30,12.4%,22,1.2%
NYJ,29,-20.2%,25,27,-16.0%,28,-5.3%,32,-26.3%,30,-23.0%,28,-6.7%,32,-31.1%,27,9.9%,1,-4.0%
JAX,30,-21.7%,15,30,-26.8%,30,-17.7%,26,-17.8%,29,-21.8%,30,-16.0%,26,-20.7%,13,6.5%,11,-0.8%
BUF,31,-27.5%,26,29,-18.4%,31,-22.6%,29,-24.6%,31,-28.1%,31,-23.0%,30,-25.4%,31,13.7%,7,-2.0%
ARI,32,-41.8%,29,32,-43.8%,32,-44.4%,31,-25.7%,32,-40.7%,32,-43.4%,29,-24.5%,10,5.9%,23,1.2%
