Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
MIN,1,-17.2%,7,1,-21.9%,2,-15.8%,5,-19.4%,3,-16.1%,3,-14.6%,7,-18.4%,16,5.9%,13,0.5%
JAX,2,-15.9%,15,4,-13.6%,1,-23.9%,25,-5.5%,1,-18.9%,1,-28.6%,27,-6.3%,29,8.0%,31,-5.2%
ARI,3,-15.4%,2,2,-19.4%,6,-8.6%,2,-25.5%,5,-11.2%,9,-3.3%,4,-22.9%,5,3.8%,16,0.3%
BAL,4,-13.4%,6,6,-9.0%,3,-11.4%,9,-16.1%,2,-17.3%,2,-17.3%,8,-17.2%,32,10.9%,28,-3.6%
PHI,5,-12.2%,4,3,-15.6%,8,-3.8%,1,-27.7%,4,-14.6%,5,-6.7%,1,-29.1%,31,10.4%,23,-1.5%
NO,6,-11.4%,28,5,-13.2%,5,-10.8%,14,-12.2%,9,-6.1%,8,-3.6%,16,-9.7%,20,6.2%,11,1.8%
LAR,7,-9.5%,17,7,-7.8%,4,-11.3%,23,-6.9%,6,-8.9%,4,-8.4%,18,-9.6%,30,8.4%,24,-1.8%
CAR,8,-8.0%,10,9,-5.6%,11,-1.7%,6,-19.3%,10,-5.4%,12,2.0%,5,-18.7%,11,5.4%,1,4.6%
PIT,9,-5.4%,11,15,-0.4%,9,-3.6%,21,-7.8%,7,-6.8%,7,-6.6%,23,-7.2%,25,6.8%,26,-3.0%
LAC,10,-3.9%,9,8,-7.4%,10,-3.1%,27,-5.0%,8,-6.7%,6,-6.7%,24,-6.7%,1,2.6%,22,-1.3%
DEN,11,-3.8%,1,11,-2.0%,17,12.1%,4,-24.0%,12,-3.5%,18,14.1%,2,-25.9%,18,6.0%,9,2.0%
WAS,12,-3.5%,25,13,-1.2%,7,-5.5%,31,-1.2%,14,-0.2%,10,-0.5%,31,0.2%,21,6.3%,4,3.4%
SEA,13,-2.1%,5,12,-1.6%,14,5.0%,16,-11.2%,11,-4.1%,13,2.8%,12,-12.9%,24,6.5%,25,-2.3%
CHI,14,-0.4%,22,16,0.4%,15,6.5%,18,-9.5%,15,0.2%,16,7.8%,14,-9.8%,4,3.3%,2,3.9%
DET,15,0.1%,31,21,5.1%,13,4.8%,24,-6.2%,13,-2.2%,11,1.9%,22,-7.6%,22,6.3%,18,-0.7%
DAL,16,1.9%,14,10,-3.0%,16,8.4%,20,-8.4%,17,2.5%,17,9.4%,20,-8.5%,13,5.4%,14,0.4%
ATL,17,2.3%,19,14,-1.1%,19,13.7%,11,-14.3%,19,3.5%,19,15.9%,11,-14.7%,6,4.0%,3,3.6%
BUF,18,2.5%,27,25,6.6%,12,3.9%,32,0.7%,20,4.3%,14,4.8%,32,3.6%,17,5.9%,10,1.8%
HOU,19,3.4%,8,30,11.0%,20,15.9%,13,-12.9%,22,5.8%,21,17.7%,17,-9.6%,23,6.4%,21,-1.1%
CLE,20,3.4%,32,18,2.5%,28,25.8%,3,-25.2%,21,5.3%,28,27.4%,3,-23.0%,9,4.4%,20,-1.1%
CIN,21,5.0%,18,28,8.4%,18,13.4%,26,-5.2%,16,0.7%,15,4.9%,30,-4.5%,3,3.1%,29,-4.6%
NYJ,22,5.6%,23,17,1.7%,24,21.5%,12,-14.0%,23,6.2%,22,20.5%,13,-11.5%,14,5.8%,7,2.1%
TEN,23,5.7%,26,19,3.4%,22,19.7%,7,-16.7%,18,3.3%,20,17.0%,6,-18.6%,10,5.2%,32,-5.5%
GB,24,5.8%,21,26,7.7%,27,25.1%,8,-16.5%,24,7.3%,30,28.0%,9,-16.6%,7,4.2%,8,2.1%
NYG,25,7.6%,3,20,4.8%,21,16.5%,28,-3.8%,27,8.9%,23,20.6%,28,-5.9%,28,7.8%,6,2.5%
SF,26,9.1%,30,24,6.4%,26,23.1%,22,-7.7%,25,7.6%,24,20.6%,21,-7.9%,15,5.9%,27,-3.2%
IND,27,9.3%,29,27,7.9%,32,30.8%,10,-15.0%,26,7.8%,29,27.7%,10,-14.8%,2,3.1%,30,-4.7%
MIA,28,10.7%,20,29,8.6%,29,27.7%,15,-11.3%,32,12.5%,32,29.3%,19,-9.3%,27,7.6%,5,3.3%
KC,29,10.8%,13,32,14.2%,25,22.3%,29,-3.7%,28,9.5%,26,22.2%,25,-6.7%,19,6.1%,17,-0.4%
OAK,30,12.0%,24,22,5.2%,31,29.3%,17,-9.8%,30,11.9%,31,29.1%,15,-9.8%,26,7.6%,15,0.4%
NE,31,12.0%,16,23,5.9%,23,20.6%,30,-1.6%,29,11.6%,25,22.0%,29,-4.8%,8,4.2%,19,-1.0%
TB,32,12.0%,12,31,11.9%,30,28.4%,19,-8.7%,31,12.2%,27,27.1%,26,-6.6%,12,5.4%,12,1.8%
