Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
KC,1,7.8%,9,1,9.1%,0.5,0.5,5.7,11.3,20.8,13,3.2,18,-0.8,1,7.6%
PHI,2,7.5%,10,2,8.5%,3.5,14.3,15.1,0.1,4.8,28,-11.3,30,-6.7,3,6.2%
LAR,3,7.1%,7,3,8.0%,3.8,4.0,1.3,29.2,-2.6,16,0.7,16,1.2,2,7.4%
BAL,4,4.9%,1,4,6.3%,25.5,7.0,-2.8,-1.0,-4.1,3,11.6,32,-8.2,7,3.3%
IND,5,4.1%,16,6,3.4%,8.9,1.6,9.0,3.5,-2.3,8,5.3,6,6.4,4,5.4%
DET,6,3.5%,13,7,2.5%,2.5,-2.9,-1.5,10.7,8.5,14,2.4,3,7.5,5,5.0%
ATL,7,2.5%,22,11,1.3%,11.1,-3.0,-1.7,2.1,3.8,22,-4.3,5,6.8,6,3.8%
NE,8,2.3%,5,10,2.1%,0.2,10.4,-3.6,12.1,-7.7,4,11.6,23,-4.2,10,1.4%
DAL,9,1.6%,11,9,2.1%,4.5,1.0,-2.0,6.1,-1.8,5,10.2,13,2.4,9,2.0%
MIN,10,1.5%,4,12,1.3%,-5.5,-10.7,9.4,5.9,8.3,25,-6.4,7,4.8,8,2.4%
NYG,11,1.2%,2,5,3.5%,4.6,-3.0,2.5,10.6,-8.8,27,-11.3,29,-6.6,15,-0.1%
MIA,12,0.8%,24,14,1.0%,-6.2,6.0,6.6,-3.5,1.2,1,21.0,19,-1.3,12,0.6%
WAS,13,0.4%,6,20,-0.8%,-3.7,-1.5,0.6,-2.4,9.3,18,-0.2,24,-4.2,16,-0.4%
OAK,14,0.3%,19,15,0.4%,-1.6,5.3,-1.4,-5.5,4.9,2,13.2,11,3.7,11,1.1%
SEA,15,-0.1%,3,18,-0.3%,-4.0,6.2,3.1,-7.4,1.6,7,8.7,21,-3.9,18,-0.9%
PIT,16,-0.1%,18,16,0.1%,9.1,-2.2,-1.6,-4.4,-1.3,17,-0.2,31,-7.3,24,-1.6%
SF,17,-0.3%,27,13,1.1%,3.9,-2.7,-6.7,5.1,-0.9,19,-1.2,14,2.4,13,0.2%
CHI,18,-0.6%,21,21,-0.9%,-4.8,2.9,-1.5,-1.4,1.5,32,-12.9,20,-2.1,19,-1.1%
TEN,19,-1.1%,28,8,2.4%,7.2,-2.7,-2.5,-6.4,-1.4,9,5.1,15,1.8,17,-0.8%
TB,20,-1.8%,30,22,-1.2%,-15.0,2.3,-8.9,13.6,-1.2,6,9.6,12,3.1,20,-1.2%
GB,21,-1.9%,17,24,-1.5%,0.7,-8.7,-2.5,0.1,1.1,26,-8.4,27,-4.7,25,-2.8%
BUF,22,-1.9%,12,28,-3.2%,-7.7,-2.6,-3.7,-2.9,7.6,23,-4.9,26,-4.6,26,-2.8%
JAX,23,-2.3%,20,26,-2.9%,0.5,0.0,8.9,-8.9,-11.8,21,-3.7,10,4.3,22,-1.4%
DEN,24,-2.3%,14,27,-3.0%,1.6,-8.6,-0.9,3.3,-6.8,11,4.3,1,11.5,14,0.0%
CAR,25,-2.5%,23,19,-0.6%,-3.8,5.2,1.0,-10.4,-4.3,12,4.2,8,4.8,23,-1.5%
CLE,26,-2.5%,15,17,0.1%,-4.5,3.3,-6.6,-1.4,-3.6,10,4.5,25,-4.6,27,-3.5%
NO,27,-2.6%,26,25,-1.7%,0.0,-5.1,-8.0,0.8,-1.0,24,-6.0,4,6.9,21,-1.3%
CIN,28,-2.7%,8,23,-1.5%,-12.1,0.9,9.0,-2.7,-8.7,29,-11.4,22,-4.1,28,-3.5%
SD,29,-4.8%,31,29,-5.3%,-8.7,-2.6,-4.7,-5.8,-2.2,31,-12.3,17,-0.3,30,-4.9%
ARI,30,-6.3%,29,31,-6.3%,-8.9,-4.9,1.7,-14.7,-4.6,20,-2.8,9,4.4,31,-5.4%
HOU,31,-6.5%,32,30,-5.6%,-5.9,-12.9,-7.5,-13.0,6.7,15,1.4,2,10.0,29,-4.5%
NYJ,32,-6.8%,25,32,-6.7%,0.3,-0.4,-6.2,-21.1,-6.6,30,-11.8,28,-4.9,32,-7.7%
