Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
GB,1,29.1%,8,1,31.6%,1,52.0%,5,2.9%,1,29.9%,1,54.1%,5,1.9%,27,9.8%,22,1.4%
KC,2,23.9%,3,3,23.4%,2,49.0%,13,-5.7%,2,22.5%,2,45.9%,12,-4.4%,2,2.6%,21,1.0%
TB,3,19.8%,23,2,24.6%,5,37.1%,10,-2.0%,4,19.9%,5,37.0%,9,-1.7%,23,8.8%,15,-0.3%
TEN,4,18.4%,6,4,19.1%,4,39.5%,2,6.1%,3,21.9%,3,43.3%,2,9.5%,14,5.4%,30,2.6%
BUF,5,15.6%,21,5,17.8%,3,43.3%,22,-15.1%,5,15.1%,4,43.0%,22,-15.9%,13,5.2%,14,-0.3%
SEA,6,13.7%,5,6,9.5%,6,30.4%,9,-1.4%,7,10.7%,8,27.6%,13,-4.9%,11,4.7%,5,-4.1%
NO,7,10.7%,4,7,9.4%,12,16.6%,1,9.5%,6,12.0%,14,18.2%,1,10.5%,7,4.3%,19,0.5%
MIN,8,6.3%,10,11,6.0%,11,18.8%,6,0.7%,11,7.2%,11,22.1%,8,-1.0%,19,7.5%,25,2.0%
CLE,9,5.4%,20,8,8.1%,10,20.9%,7,-0.8%,10,7.6%,9,23.5%,6,1.0%,31,13.2%,18,0.1%
LAR,10,4.4%,16,17,-4.8%,19,12.4%,4,3.5%,15,0.5%,20,8.7%,7,-0.5%,24,9.4%,7,-3.5%
BAL,11,4.3%,1,9,7.2%,17,13.9%,3,6.0%,8,8.7%,12,21.5%,3,8.2%,16,6.6%,23,1.8%
IND,12,2.7%,19,10,6.4%,16,14.3%,12,-5.4%,9,8.0%,10,22.3%,10,-3.1%,1,1.9%,32,6.2%
HOU,13,2.7%,17,12,2.5%,8,24.1%,32,-28.0%,13,4.8%,7,27.9%,32,-29.3%,3,3.1%,31,3.2%
LV,14,1.8%,9,15,-3.9%,9,21.3%,24,-17.7%,17,-1.0%,16,14.5%,21,-15.5%,20,7.7%,16,-0.2%
LAC,15,1.5%,12,13,0.0%,7,27.5%,31,-26.7%,12,5.1%,6,28.8%,28,-20.2%,9,4.4%,26,2.1%
DET,16,0.0%,18,14,-2.3%,15,14.8%,21,-13.8%,20,-3.7%,19,12.5%,26,-19.8%,25,9.5%,9,-1.7%
CAR,17,-0.2%,27,19,-5.7%,20,12.3%,16,-8.8%,19,-3.5%,21,7.0%,16,-9.4%,21,8.3%,6,-3.7%
MIA,18,-2.1%,28,18,-5.2%,18,12.8%,23,-17.5%,16,-0.5%,15,15.5%,23,-17.6%,10,4.4%,24,1.9%
ARI,19,-2.4%,13,23,-8.1%,14,15.0%,17,-9.7%,18,-2.2%,17,14.0%,15,-7.8%,12,4.8%,8,-1.8%
SF,20,-2.5%,7,20,-6.5%,22,8.9%,15,-7.4%,23,-7.1%,22,3.7%,19,-11.5%,18,7.4%,4,-4.1%
ATL,21,-3.1%,15,16,-4.3%,13,15.8%,29,-25.9%,22,-4.3%,18,13.9%,30,-26.2%,4,3.3%,11,-0.8%
PIT,22,-4.7%,31,22,-7.9%,21,11.3%,30,-26.3%,14,1.8%,13,18.9%,29,-21.3%,8,4.3%,29,2.5%
NE,23,-7.3%,11,26,-13.2%,27,-10.6%,8,-1.2%,21,-4.0%,27,-8.2%,4,2.8%,32,13.9%,12,-0.5%
DAL,24,-8.5%,2,25,-11.3%,24,-0.9%,20,-12.6%,26,-14.1%,24,-5.6%,25,-19.7%,22,8.5%,3,-4.3%
CHI,25,-10.6%,25,21,-6.7%,23,1.6%,25,-18.3%,24,-8.2%,23,3.7%,20,-15.4%,6,3.5%,27,2.2%
NYG,26,-11.8%,22,24,-11.1%,28,-11.5%,11,-3.7%,27,-17.0%,30,-16.0%,17,-10.2%,15,5.6%,1,-5.6%
JAX,27,-12.6%,24,30,-19.3%,26,-8.1%,19,-11.1%,25,-11.0%,26,-7.4%,14,-7.6%,26,9.6%,28,2.3%
PHI,28,-16.9%,14,27,-16.9%,29,-12.1%,18,-10.2%,29,-18.3%,29,-13.5%,18,-11.5%,17,6.9%,2,-5.0%
CIN,29,-18.2%,29,28,-17.9%,25,-4.9%,28,-24.3%,31,-20.4%,25,-7.2%,31,-26.3%,30,10.8%,10,-1.0%
DEN,30,-20.0%,26,29,-18.0%,31,-12.9%,26,-22.2%,30,-19.0%,28,-13.4%,24,-19.3%,29,10.2%,20,0.6%
NYJ,31,-20.5%,32,31,-19.7%,30,-12.5%,27,-22.6%,32,-23.1%,31,-19.2%,27,-20.2%,28,9.8%,13,-0.4%
WAS,32,-21.8%,30,32,-20.7%,32,-26.7%,14,-6.0%,28,-18.2%,32,-21.8%,11,-4.2%,5,3.4%,17,0.1%
