Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
SEA,1,-25.1%,5,1,-27.9%,1,-30.2%,8,-17.9%,1,-27.9%,1,-31.3%,3,-23.1%,27,8.3%,30,-3.6%
ARI,2,-19.1%,3,2,-21.7%,3,-14.1%,1,-28.2%,2,-17.4%,5,-11.7%,1,-27.9%,18,5.7%,10,0.9%
CAR,3,-15.0%,13,3,-16.8%,4,-13.4%,9,-17.9%,4,-14.7%,4,-12.4%,7,-19.0%,21,6.3%,20,-0.8%
BUF,4,-13.4%,26,4,-16.5%,2,-21.0%,20,-4.0%,5,-13.5%,2,-20.4%,20,-4.8%,26,7.6%,26,-2.7%
CIN,5,-11.8%,11,7,-12.8%,5,-12.7%,16,-10.4%,3,-16.1%,3,-16.0%,11,-16.2%,29,8.7%,25,-2.1%
NYG,6,-10.6%,18,5,-14.1%,7,-2.7%,4,-21.4%,11,-4.9%,11,2.0%,12,-14.4%,25,7.6%,1,7.3%
NO,7,-9.1%,27,9,-9.1%,6,-11.8%,19,-5.1%,6,-7.9%,6,-9.6%,19,-5.2%,15,5.2%,9,1.1%
STL,8,-8.9%,7,6,-13.5%,9,-1.0%,5,-19.7%,7,-7.8%,9,0.8%,6,-19.5%,20,6.3%,6,1.8%
BAL,9,-7.5%,19,8,-9.7%,8,-1.3%,11,-16.0%,12,-4.5%,12,2.1%,13,-13.7%,2,2.5%,12,-0.1%
TB,10,-6.3%,21,12,-4.7%,14,5.3%,3,-21.8%,15,-1.6%,20,12.6%,4,-20.6%,24,7.3%,3,4.4%
KC,11,-5.1%,32,14,-1.0%,10,-0.7%,14,-11.3%,10,-4.9%,7,-2.4%,16,-8.6%,10,4.7%,11,0.6%
DET,12,-4.4%,22,10,-6.5%,13,4.1%,7,-19.3%,8,-6.1%,10,1.5%,5,-19.6%,30,8.9%,19,-0.7%
SF,13,-4.0%,4,11,-5.0%,11,0.4%,15,-10.7%,9,-5.9%,8,-1.3%,14,-12.9%,7,4.0%,23,-2.0%
NYJ,14,-3.9%,10,18,1.4%,19,10.4%,2,-24.6%,13,-2.5%,21,12.7%,2,-24.4%,14,5.0%,22,-1.5%
DEN,15,0.0%,6,13,-3.6%,22,12.8%,6,-19.5%,14,-2.5%,16,7.9%,9,-18.2%,16,5.2%,24,-2.0%
HOU,16,1.0%,2,20,5.5%,23,13.2%,12,-14.2%,18,2.9%,26,18.5%,10,-16.3%,17,5.5%,15,-0.2%
IND,17,1.6%,31,16,0.1%,15,6.7%,18,-5.1%,16,-0.5%,13,4.3%,18,-6.8%,32,10.7%,27,-2.9%
MIA,18,2.8%,15,19,2.8%,12,3.0%,29,2.6%,19,3.1%,15,5.1%,26,0.7%,8,4.3%,16,-0.4%
TEN,19,4.8%,25,22,8.4%,17,10.2%,24,-2.2%,22,4.3%,19,9.4%,23,-2.5%,12,4.8%,28,-3.2%
NE,20,5.3%,17,27,10.8%,18,10.3%,26,-0.9%,20,3.4%,17,8.2%,24,-2.5%,11,4.7%,29,-3.6%
WAS,21,5.3%,16,15,-0.3%,21,12.3%,22,-3.5%,27,10.6%,23,16.7%,29,2.7%,23,6.6%,2,5.5%
PHI,22,6.2%,28,17,0.4%,28,21.2%,10,-17.1%,21,3.9%,24,18.1%,8,-18.3%,19,5.9%,14,-0.2%
PIT,23,6.5%,12,21,6.4%,20,11.3%,27,0.1%,17,1.4%,14,4.6%,22,-2.8%,13,4.9%,32,-5.3%
MIN,24,7.9%,14,23,8.4%,27,21.2%,13,-13.4%,24,8.0%,29,20.6%,15,-12.1%,1,2.4%,7,1.5%
CHI,25,9.4%,1,30,14.8%,16,9.7%,32,9.1%,25,9.5%,18,8.4%,32,10.7%,22,6.5%,21,-1.4%
ATL,26,9.4%,9,25,10.3%,26,19.6%,21,-3.6%,26,10.3%,27,19.9%,25,-2.0%,3,3.4%,8,1.4%
CLE,27,10.0%,24,28,12.6%,24,18.9%,23,-2.7%,23,5.1%,22,14.6%,17,-8.4%,9,4.4%,31,-3.6%
OAK,28,10.7%,30,26,10.8%,30,23.8%,17,-6.4%,31,15.4%,32,30.2%,21,-3.8%,28,8.6%,4,4.1%
DAL,29,10.7%,23,31,14.9%,25,19.1%,25,-1.8%,28,11.5%,25,18.3%,28,1.3%,31,8.9%,5,2.9%
JAX,30,12.5%,29,24,10.1%,29,21.7%,28,1.5%,30,12.9%,30,22.9%,27,1.1%,6,3.9%,13,-0.1%
GB,31,15.9%,8,32,15.0%,31,24.5%,31,5.3%,29,12.4%,28,20.0%,30,3.0%,5,3.7%,18,-0.5%
SD,32,19.3%,20,29,14.3%,32,29.7%,30,3.8%,32,19.9%,31,29.4%,31,5.8%,4,3.7%,17,-0.4%
