Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
BAL,1,7.3%,2,1,8.8%,4.5,4.5,4.7,16.0,7.0,17,-0.6,24,-3.3,1,6.7%
NYG,2,5.4%,15,2,5.8%,9.5,-3.1,9.1,7.4,4.0,24,-6.4,23,-3.0,2,4.8%
SEA,3,4.2%,19,9,2.7%,6.6,0.8,7.6,-5.4,11.3,29,-8.9,21,-2.7,3,3.7%
MIN,4,3.9%,10,4,5.0%,2.0,-3.7,16.1,1.1,4.0,28,-8.7,20,-1.8,4,3.5%
NE,5,3.9%,5,13,2.1%,14.1,8.2,0.7,-6.7,3.1,16,0.1,22,-2.7,5,3.3%
WAS,6,3.2%,29,3,5.0%,3.0,5.1,8.9,4.8,-5.8,13,2.5,26,-3.7,8,2.5%
STL,7,2.4%,7,7,3.3%,-6.7,2.5,4.0,10.4,1.6,14,1.0,16,1.2,6,2.6%
CIN,8,2.2%,6,8,2.8%,1.5,7.2,-2.0,3.4,1.1,15,0.9,28,-4.1,12,1.4%
KC,9,2.0%,3,17,1.4%,-2.9,0.6,-0.8,16.2,-3.1,12,2.8,18,-1.0,11,1.8%
PHI,10,1.9%,1,5,4.3%,-2.9,0.7,-0.2,1.0,11.1,32,-13.8,25,-3.4,13,1.2%
DAL,11,1.8%,13,6,3.6%,8.6,-6.2,-0.1,13.3,-6.7,8,5.8,11,2.0,9,2.2%
BUF,12,1.5%,4,16,1.8%,-1.7,18.2,-6.1,4.0,-6.9,22,-5.2,31,-5.9,15,0.3%
DET,13,1.0%,31,15,1.9%,6.0,-2.6,3.3,3.2,-4.7,20,-4.4,6,4.4,10,1.9%
DEN,14,0.7%,27,21,-1.1%,-0.6,0.1,-2.2,4.9,1.3,19,-2.8,1,9.1,7,2.5%
CLE,15,0.7%,14,23,-2.1%,-0.3,1.4,-4.0,-2.4,8.7,18,-2.6,29,-4.2,18,-0.2%
IND,16,0.5%,8,12,2.1%,4.5,4.8,-1.2,-0.1,-5.6,6,6.9,10,3.7,14,1.2%
GB,17,0.4%,22,18,0.5%,5.0,-7.8,5.4,4.7,-5.6,21,-4.9,19,-1.8,17,0.0%
PIT,18,0.1%,12,11,2.2%,-1.0,3.7,-4.8,3.4,-0.6,30,-11.1,32,-6.7,21,-1.2%
OAK,19,-0.1%,18,20,-0.4%,-1.4,-6.2,-2.3,14.0,-4.6,2,16.4,12,1.7,16,0.2%
JAX,20,-0.9%,26,14,1.9%,-4.6,2.4,-0.9,-9.3,7.8,7,6.0,13,1.6,19,-0.6%
CHI,21,-1.2%,25,10,2.7%,3.5,-15.0,3.3,3.0,-0.9,27,-8.2,27,-4.0,24,-2.0%
ATL,22,-2.1%,9,22,-1.6%,-4.3,-3.9,0.2,-4.6,2.1,5,7.8,2,7.3,20,-0.6%
CAR,23,-2.4%,30,19,-0.2%,-1.5,-5.1,-1.8,-6.3,2.8,10,5.5,7,4.3,22,-1.5%
MIA,24,-2.7%,32,28,-3.0%,-1.7,0.8,-9.1,-11.2,7.9,1,18.8,17,0.5,25,-2.5%
NYJ,25,-2.9%,16,24,-2.3%,0.8,4.4,-5.6,-17.9,3.6,26,-7.9,30,-5.3,30,-4.0%
NO,26,-3.2%,11,25,-2.7%,-15.4,-2.4,-2.1,3.8,0.2,3,14.0,3,6.7,23,-1.8%
SF,27,-3.6%,24,27,-3.0%,0.7,-4.3,-5.3,-4.6,-4.4,4,11.3,14,1.4,28,-3.3%
TEN,28,-3.8%,20,26,-2.7%,1.5,-1.2,-10.0,-6.7,-2.4,23,-5.9,8,4.3,26,-2.9%
ARI,29,-4.0%,21,32,-7.1%,-1.8,0.4,0.5,-12.7,-6.3,31,-11.4,9,3.7,27,-3.2%
TB,30,-4.7%,17,31,-5.9%,-17.5,-3.1,0.2,1.1,-4.3,11,2.8,5,6.1,29,-3.5%
SD,31,-5.3%,23,29,-4.0%,-1.2,-2.7,-4.3,-12.3,-6.1,25,-7.8,15,1.3,32,-5.1%
HOU,32,-5.7%,28,30,-4.1%,-3.7,1.0,-2.6,-15.1,-8.1,9,5.6,4,6.4,31,-4.4%
