Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
BAL,1,28.2%,13,1,30.8%,1,52.7%,1,16.9%,1,27.9%,1,54.5%,1,15.0%,18,7.6%,9,-1.4%
DAL,2,24.5%,24,5,20.5%,5,41.1%,3,6.0%,2,24.5%,4,42.2%,5,4.5%,2,3.8%,13,-0.5%
KC,3,23.5%,1,4,20.6%,2,46.9%,16,-7.3%,3,23.4%,2,45.9%,13,-5.8%,5,4.8%,21,0.9%
NO,4,22.0%,4,2,28.6%,4,42.2%,6,2.1%,4,22.8%,3,43.5%,7,2.2%,17,7.6%,16,-0.2%
SEA,5,17.7%,8,6,13.4%,3,46.8%,12,-3.8%,6,11.6%,5,39.3%,20,-8.5%,27,10.3%,1,-4.7%
TEN,6,13.0%,23,3,23.6%,6,33.7%,5,2.5%,5,17.1%,6,38.7%,3,5.9%,30,14.5%,30,3.0%
SF,7,7.7%,27,7,7.3%,8,23.8%,7,0.5%,8,7.7%,9,23.9%,8,0.3%,12,7.1%,14,-0.2%
GB,8,6.6%,7,9,4.3%,10,19.6%,4,4.5%,11,5.8%,12,17.7%,4,5.3%,16,7.4%,18,0.0%
OAK,9,5.4%,25,11,3.0%,7,24.0%,18,-7.7%,10,6.1%,7,25.2%,18,-7.6%,23,8.7%,24,1.6%
MIN,10,4.8%,18,13,1.4%,11,17.9%,10,-1.6%,7,8.0%,8,24.4%,9,-1.7%,8,6.1%,28,2.5%
NE,11,4.3%,5,16,-0.4%,15,14.9%,11,-2.5%,9,6.2%,11,18.4%,10,-2.6%,9,6.2%,26,2.0%
LAC,12,3.5%,3,12,2.8%,9,21.4%,22,-11.3%,12,4.6%,10,22.7%,21,-10.2%,22,8.5%,27,2.3%
ARI,13,3.2%,32,8,7.0%,22,3.1%,2,12.0%,15,1.2%,25,-0.6%,2,12.5%,28,11.0%,6,-2.6%
PHI,14,2.4%,16,14,0.6%,17,13.2%,13,-3.9%,13,4.6%,13,17.4%,12,-4.3%,19,7.9%,23,1.2%
ATL,15,2.3%,9,10,3.5%,13,17.2%,23,-12.9%,16,0.5%,15,14.4%,22,-12.8%,14,7.2%,7,-1.9%
LAR,16,0.6%,2,15,0.5%,16,14.0%,15,-5.6%,17,-0.2%,16,14.1%,19,-7.9%,21,8.5%,5,-2.8%
HOU,17,0.6%,19,17,-1.8%,12,17.9%,17,-7.4%,14,1.9%,14,17.0%,11,-2.7%,25,9.5%,19,0.4%
DET,18,-3.0%,22,21,-6.2%,14,15.4%,27,-18.3%,20,-5.2%,17,13.3%,27,-20.6%,6,4.9%,12,-0.6%
IND,19,-3.4%,10,23,-7.8%,25,-0.8%,8,-0.7%,18,-0.7%,22,1.8%,6,2.3%,13,7.1%,32,3.4%
CLE,20,-4.8%,17,18,-2.0%,19,4.9%,14,-4.4%,22,-8.0%,23,1.4%,17,-7.2%,26,9.5%,2,-3.9%
BUF,21,-7.1%,31,20,-5.5%,20,4.0%,19,-8.4%,19,-4.1%,19,8.0%,16,-6.3%,7,5.3%,17,-0.2%
NYG,22,-7.4%,14,24,-7.9%,26,-1.4%,21,-10.8%,25,-9.1%,26,-1.1%,25,-15.8%,4,4.6%,10,-1.4%
TB,23,-7.4%,12,22,-6.5%,18,6.6%,25,-17.7%,21,-6.1%,18,8.2%,26,-16.8%,10,6.6%,25,1.7%
JAX,24,-9.9%,30,28,-14.8%,23,2.4%,29,-21.3%,23,-8.8%,20,4.1%,29,-21.2%,24,9.1%,29,2.6%
CHI,25,-9.9%,20,25,-8.8%,21,3.8%,28,-19.6%,26,-11.3%,21,2.0%,28,-20.7%,1,2.7%,20,0.6%
DEN,26,-11.3%,15,26,-13.0%,27,-6.9%,20,-9.4%,24,-9.0%,27,-5.3%,14,-6.0%,20,8.1%,31,3.0%
CAR,27,-14.4%,11,30,-20.4%,31,-18.3%,9,-0.7%,28,-17.3%,32,-19.7%,15,-6.2%,15,7.4%,11,-1.3%
MIA,28,-14.5%,26,19,-5.2%,24,2.1%,32,-40.4%,27,-15.4%,24,0.8%,32,-40.7%,29,13.0%,3,-3.6%
CIN,29,-16.6%,21,27,-14.7%,28,-8.9%,24,-15.9%,30,-19.7%,30,-14.6%,23,-15.4%,11,7.0%,4,-3.3%
WAS,30,-20.7%,28,31,-22.5%,29,-13.7%,26,-17.7%,29,-19.0%,29,-12.3%,24,-15.7%,32,17.9%,8,-1.4%
PIT,31,-25.1%,6,32,-32.7%,30,-16.0%,30,-25.1%,32,-22.6%,28,-11.5%,31,-25.1%,3,4.2%,15,-0.2%
NYJ,32,-25.4%,29,29,-20.3%,32,-20.6%,31,-26.2%,31,-21.7%,31,-17.0%,30,-22.3%,31,14.5%,22,0.9%
