Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
GB,1,25.2%,10,1,27.6%,1,49.9%,10,-0.8%,1,25.1%,1,51.0%,11,-2.6%,8,5.8%,14,-0.5%
PIT,2,22.9%,13,2,23.8%,2,46.1%,9,-0.6%,3,20.5%,2,40.3%,6,1.7%,25,9.9%,21,1.2%
DEN,3,20.3%,1,6,15.0%,3,39.7%,4,5.2%,2,20.8%,3,40.3%,3,5.6%,22,9.1%,6,-1.5%
SEA,4,17.4%,7,5,16.4%,8,28.7%,1,23.4%,4,18.4%,7,31.1%,1,23.1%,9,6.4%,5,-1.9%
DAL,5,17.2%,11,3,19.8%,4,36.0%,3,6.6%,5,16.0%,4,36.3%,4,4.0%,14,7.6%,20,0.8%
NE,6,13.9%,4,4,18.2%,5,35.5%,12,-4.5%,6,13.1%,5,33.2%,12,-3.4%,10,6.4%,13,-1.2%
MIA,7,10.4%,19,7,10.6%,12,17.7%,2,12.7%,8,11.0%,11,20.1%,2,10.6%,7,5.6%,8,-1.5%
NO,8,10.1%,5,9,5.0%,10,20.8%,8,0.1%,9,9.9%,10,20.5%,8,0.0%,17,8.2%,25,1.6%
BAL,9,9.8%,31,8,7.2%,6,31.2%,14,-5.3%,7,12.4%,6,31.9%,9,-0.4%,31,12.4%,32,3.3%
SD,10,7.0%,2,10,4.6%,7,29.6%,27,-17.0%,12,5.7%,8,28.2%,28,-18.1%,30,11.9%,2,-3.7%
ATL,11,6.9%,14,12,3.1%,9,24.5%,21,-13.2%,10,7.9%,9,26.4%,21,-13.4%,15,7.8%,23,1.4%
KC,12,5.4%,15,11,4.2%,15,13.3%,5,4.8%,11,5.9%,13,17.1%,7,0.9%,18,8.4%,6,-1.5%
PHI,13,1.1%,3,13,0.8%,18,11.3%,11,-3.3%,15,-0.2%,20,9.7%,13,-4.4%,3,3.2%,16,0.0%
SF,14,-0.3%,8,15,-0.7%,16,12.7%,15,-6.3%,19,-3.0%,17,13.5%,22,-13.6%,11,6.4%,9,-1.4%
NYG,15,-0.5%,30,14,0.5%,13,17.1%,20,-12.9%,17,-2.5%,16,14.7%,24,-14.6%,26,10.2%,10,-1.4%
CHI,16,-0.8%,6,19,-6.1%,14,15.1%,16,-9.4%,20,-3.7%,19,9.8%,15,-8.6%,13,7.3%,11,-1.2%
CIN,17,-0.9%,17,18,-6.0%,22,6.2%,7,0.4%,14,0.2%,23,6.7%,5,2.2%,23,9.2%,24,1.6%
IND,18,-1.3%,12,21,-7.8%,11,19.2%,32,-26.9%,16,-0.3%,12,19.4%,32,-24.7%,12,7.2%,22,1.2%
DET,19,-3.5%,18,17,-4.3%,19,10.5%,28,-18.6%,13,1.8%,14,15.8%,20,-13.0%,4,3.7%,30,2.7%
CAR,20,-4.9%,9,20,-6.7%,21,7.1%,17,-10.0%,18,-2.7%,18,11.2%,17,-10.0%,6,5.1%,28,2.1%
HOU,21,-6.5%,29,22,-8.2%,17,11.9%,26,-16.6%,21,-4.2%,15,15.3%,26,-15.4%,2,3.1%,29,2.5%
MIN,22,-7.6%,21,16,-2.6%,28,-6.2%,6,1.9%,22,-4.6%,24,0.7%,10,-0.6%,21,8.8%,18,0.3%
ARI,23,-9.1%,20,24,-10.0%,20,7.8%,29,-19.5%,24,-10.1%,21,8.7%,30,-23.3%,1,2.0%,3,-3.0%
CLE,24,-10.3%,26,27,-20.2%,23,5.3%,24,-16.4%,23,-8.6%,22,6.7%,23,-14.3%,32,13.7%,27,2.1%
STL,25,-11.0%,22,25,-11.0%,27,-6.1%,13,-5.0%,28,-13.4%,28,-7.0%,16,-9.6%,28,10.9%,4,-2.6%
BUF,26,-11.2%,25,26,-12.2%,24,-0.4%,23,-15.6%,25,-10.5%,25,0.4%,25,-14.9%,5,3.8%,17,0.0%
NYJ,27,-11.6%,27,23,-8.9%,25,-2.2%,19,-12.9%,26,-10.7%,26,-0.6%,18,-12.8%,19,8.5%,15,-0.2%
WAS,28,-12.8%,24,29,-22.4%,26,-5.1%,18,-10.4%,27,-12.6%,29,-7.2%,14,-6.9%,16,7.8%,12,-1.2%
TEN,29,-16.1%,16,30,-23.4%,29,-7.2%,25,-16.4%,29,-15.8%,27,-6.2%,27,-17.2%,29,11.3%,19,0.6%
OAK,30,-19.9%,28,28,-21.1%,30,-10.2%,30,-23.2%,32,-24.1%,31,-16.4%,31,-24.2%,27,10.7%,1,-4.5%
JAX,31,-24.8%,32,31,-23.5%,32,-28.2%,22,-14.1%,31,-22.8%,32,-25.7%,19,-12.8%,20,8.8%,26,2.0%
TB,32,-26.5%,23,32,-30.0%,31,-18.7%,31,-25.5%,30,-21.9%,30,-12.4%,29,-23.2%,24,9.5%,31,3.2%
