Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
PIT,1,-20.2%,3,4,-20.0%,1,-19.8%,5,-20.7%,1,-21.9%,1,-25.0%,9,-17.8%,27,7.4%,27,-4.3%
NO,2,-19.0%,8,2,-21.7%,3,-14.7%,2,-25.7%,4,-16.0%,4,-8.9%,2,-27.1%,32,10.9%,8,2.9%
WAS,3,-18.3%,27,3,-21.0%,2,-18.0%,11,-18.8%,2,-19.4%,2,-21.0%,10,-17.2%,23,6.3%,29,-4.7%
LAR,4,-17.0%,9,1,-24.2%,4,-12.0%,3,-24.1%,3,-18.6%,3,-12.9%,3,-26.8%,18,4.9%,25,-2.9%
TB,5,-14.6%,6,6,-12.0%,5,-5.4%,1,-31.4%,5,-14.2%,6,-4.5%,1,-31.8%,31,8.5%,10,2.5%
SF,6,-9.9%,2,5,-13.8%,7,-3.4%,10,-19.3%,8,-7.9%,9,-1.9%,12,-16.7%,22,6.1%,16,-0.1%
IND,7,-9.5%,19,10,-6.0%,8,-2.9%,9,-19.7%,6,-9.0%,8,-2.3%,7,-19.3%,21,5.4%,15,0.6%
CHI,8,-7.5%,10,13,-3.8%,13,3.4%,4,-22.5%,12,-3.3%,19,8.7%,4,-19.9%,16,4.8%,1,6.4%
BAL,9,-6.9%,5,15,-2.6%,10,0.4%,12,-18.4%,9,-7.9%,11,-0.4%,6,-19.7%,26,7.0%,26,-4.1%
ARI,10,-6.6%,20,7,-9.1%,9,0.1%,14,-16.3%,7,-8.1%,7,-3.0%,14,-15.4%,30,8.4%,23,-2.6%
MIA,11,-3.3%,32,9,-8.0%,6,-4.1%,22,-2.3%,10,-5.4%,5,-7.3%,23,-2.8%,25,6.9%,21,-2.2%
BUF,12,-2.2%,7,8,-8.0%,12,2.2%,17,-8.3%,11,-3.9%,10,-0.7%,16,-8.2%,9,3.6%,20,-1.6%
DEN,13,-0.2%,13,18,1.6%,11,0.6%,25,-1.3%,22,3.8%,18,8.7%,21,-3.1%,13,4.3%,3,5.1%
ATL,14,-0.1%,17,12,-4.4%,19,11.6%,6,-20.7%,20,3.6%,24,15.2%,13,-16.5%,29,8.4%,2,6.1%
PHI,15,0.2%,12,16,-2.5%,24,15.9%,13,-18.2%,13,-3.2%,17,8.2%,11,-16.7%,20,5.3%,24,-2.8%
SEA,16,0.4%,21,11,-5.2%,20,12.3%,7,-20.1%,14,-2.1%,16,8.2%,5,-19.8%,1,2.5%,28,-4.4%
GB,17,0.5%,15,14,-3.5%,15,4.9%,18,-5.4%,15,-1.0%,13,3.9%,18,-7.6%,11,4.0%,14,0.7%
MIN,18,3.4%,4,26,7.8%,14,4.7%,30,1.9%,23,6.8%,22,10.6%,29,2.2%,14,4.3%,4,5.0%
NYG,19,3.7%,28,17,0.8%,22,13.2%,15,-9.9%,16,1.2%,14,6.7%,19,-6.9%,24,6.6%,30,-5.3%
LAC,20,4.4%,25,21,5.0%,17,8.2%,26,-0.7%,21,3.7%,20,8.8%,22,-3.1%,2,2.6%,17,-0.4%
NYJ,21,4.7%,11,19,4.8%,28,22.9%,8,-20.0%,27,8.9%,30,29.6%,8,-19.2%,8,3.6%,12,1.3%
KC,22,4.9%,14,24,6.6%,16,6.7%,31,2.5%,19,3.5%,15,8.1%,24,-2.5%,17,4.9%,19,-0.8%
DAL,23,6.0%,16,20,4.9%,21,13.1%,23,-2.1%,18,2.0%,12,3.7%,28,0.0%,10,3.7%,31,-6.1%
CAR,24,7.3%,26,22,5.8%,23,15.5%,20,-4.5%,24,7.5%,25,15.7%,20,-4.3%,3,2.9%,6,3.9%
CLE,25,7.4%,24,25,7.0%,25,16.4%,19,-5.4%,17,1.9%,21,8.9%,17,-7.9%,15,4.7%,32,-6.5%
NE,26,7.9%,1,23,6.3%,18,9.1%,32,6.6%,26,8.7%,23,13.1%,32,3.7%,28,7.7%,13,0.8%
CIN,27,9.1%,30,27,8.9%,27,18.6%,21,-2.9%,25,8.6%,26,17.1%,25,-2.0%,19,5.1%,22,-2.4%
LV,28,9.6%,31,28,8.9%,26,16.5%,28,0.3%,29,10.7%,27,19.3%,27,-0.9%,7,3.5%,11,2.0%
TEN,29,11.5%,18,29,12.2%,30,25.3%,16,-8.8%,28,9.5%,28,24.0%,15,-11.9%,4,3.0%,18,-0.5%
HOU,30,14.3%,22,31,17.0%,29,25.2%,29,1.6%,30,14.9%,29,25.4%,31,2.9%,6,3.4%,9,2.8%
JAX,31,15.2%,29,30,14.4%,31,30.1%,24,-1.4%,31,17.9%,31,35.2%,26,-1.4%,5,3.2%,7,3.7%
DET,32,17.7%,23,32,21.3%,32,32.5%,27,-0.5%,32,21.4%,32,36.6%,30,2.7%,12,4.1%,5,4.0%
