Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
CHI,1,-25.4%,14,1,-26.9%,1,-21.7%,2,-32.0%,1,-25.6%,1,-19.6%,1,-36.4%,11,5.1%,23,-3.1%
BUF,2,-14.0%,18,2,-16.0%,2,-15.3%,15,-12.5%,4,-12.1%,2,-13.3%,18,-10.7%,31,8.8%,20,-1.8%
MIN,3,-12.6%,1,3,-14.0%,3,-9.2%,10,-16.9%,3,-13.4%,3,-10.6%,7,-16.9%,27,7.5%,22,-2.8%
BAL,4,-11.7%,4,4,-13.3%,4,-7.9%,9,-17.9%,6,-8.8%,4,-4.0%,8,-16.6%,28,8.4%,5,4.6%
HOU,5,-9.7%,19,7,-7.6%,13,4.9%,1,-34.5%,2,-13.6%,6,-1.1%,2,-34.8%,6,4.3%,31,-6.7%
DEN,6,-8.9%,11,6,-11.3%,5,-7.8%,19,-10.5%,9,-6.4%,5,-3.2%,16,-10.9%,13,5.3%,7,3.8%
JAX,7,-8.8%,2,10,-6.6%,7,-0.5%,5,-20.2%,7,-6.9%,13,3.2%,6,-20.9%,17,5.7%,17,-1.2%
NO,8,-7.3%,6,5,-13.1%,12,4.6%,3,-29.7%,10,-6.2%,17,6.9%,3,-30.8%,21,6.2%,9,3.2%
DAL,9,-6.0%,16,9,-6.8%,9,3.3%,6,-20.1%,8,-6.9%,12,2.9%,5,-21.6%,16,5.7%,18,-1.2%
LAC,10,-4.1%,10,11,-4.3%,10,4.1%,11,-15.2%,11,-3.7%,10,1.8%,14,-11.2%,1,1.8%,12,0.7%
IND,11,-3.5%,27,8,-7.2%,15,9.2%,4,-21.2%,5,-8.9%,11,2.4%,4,-24.5%,15,5.5%,32,-8.7%
ARI,12,-2.4%,3,17,0.5%,6,-3.5%,29,-1.2%,17,0.4%,9,0.9%,27,0.0%,2,3.8%,4,4.8%
CLE,13,-1.6%,20,20,3.2%,8,0.2%,25,-4.2%,14,-1.2%,8,0.8%,24,-4.1%,26,7.5%,3,5.4%
PIT,14,-0.5%,9,12,-0.5%,21,12.1%,7,-19.9%,21,3.2%,24,15.8%,9,-16.0%,18,5.7%,6,4.5%
PHI,15,0.9%,5,18,2.4%,19,10.7%,8,-19.4%,19,2.1%,19,10.2%,10,-14.7%,29,8.7%,15,-0.7%
LAR,16,1.0%,7,15,0.0%,11,4.5%,24,-4.2%,12,-3.3%,7,0.4%,23,-8.7%,5,4.3%,21,-1.9%
SEA,17,1.0%,13,21,3.6%,16,9.3%,16,-12.0%,13,-1.2%,16,6.7%,12,-13.7%,8,4.5%,16,-0.9%
TEN,18,1.3%,23,16,0.4%,20,11.8%,17,-11.6%,16,-1.0%,18,8.5%,13,-12.7%,14,5.5%,27,-4.9%
NE,19,1.4%,31,13,-0.3%,17,9.5%,13,-12.9%,15,-1.2%,15,6.2%,11,-14.1%,24,7.0%,28,-5.3%
WAS,20,2.8%,12,19,2.8%,14,6.4%,27,-2.4%,18,1.3%,14,4.2%,25,-3.0%,19,5.7%,19,-1.7%
DET,21,4.4%,15,14,-0.2%,24,16.9%,14,-12.9%,20,3.0%,21,13.0%,15,-11.0%,30,8.7%,24,-3.3%
NYJ,22,4.9%,22,28,11.8%,22,13.4%,20,-7.3%,22,4.0%,22,13.3%,19,-9.5%,23,6.7%,26,-4.1%
CAR,23,5.5%,8,24,4.9%,23,16.9%,18,-10.8%,25,6.3%,25,18.0%,17,-10.7%,10,5.0%,8,3.2%
SF,24,6.5%,26,25,7.5%,29,21.2%,12,-12.9%,27,10.1%,30,24.6%,20,-9.0%,4,4.2%,10,2.7%
NYG,25,6.8%,25,23,4.5%,25,17.0%,21,-6.3%,23,4.5%,23,15.1%,22,-8.9%,7,4.5%,25,-3.6%
MIA,26,7.1%,28,30,13.1%,27,19.2%,22,-6.3%,24,5.7%,26,18.9%,21,-8.9%,25,7.1%,30,-6.1%
KC,27,7.7%,29,22,4.1%,18,10.0%,32,4.5%,26,7.4%,20,11.1%,30,2.3%,3,3.9%,14,0.5%
CIN,28,9.7%,21,31,13.5%,26,18.5%,28,-1.7%,30,13.5%,29,23.4%,29,0.6%,22,6.2%,1,7.1%
GB,29,11.6%,24,32,14.8%,28,20.6%,30,-0.3%,28,11.1%,28,21.6%,26,-2.8%,32,9.2%,29,-6.0%
ATL,30,12.5%,17,26,9.2%,30,23.4%,26,-3.3%,29,12.5%,27,19.0%,31,3.1%,20,5.8%,13,0.7%
OAK,31,14.2%,30,27,11.6%,32,32.3%,23,-5.0%,31,18.8%,32,36.5%,28,0.1%,9,4.6%,2,6.2%
TB,32,16.2%,32,29,12.6%,31,27.2%,31,1.6%,32,19.1%,31,30.6%,32,3.7%,12,5.2%,11,1.8%
