Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
NYJ,1,8.1%,25,1,8.9%,10.3,5.1,13.6,2.7,8.8,14,0.8,27,-3.7,1,7.4%
KC,2,5.6%,4,8,2.9%,3.1,5.2,6.8,7.0,6.0,5,10.8,25,-3.4,3,4.9%
NYG,3,4.5%,32,2,7.8%,11.5,5.3,2.2,9.6,-5.8,31,-16.5,26,-3.4,5,3.9%
JAX,4,4.4%,24,3,6.0%,3.7,4.0,-0.9,10.7,4.5,16,0.2,10,2.7,2,5.0%
HOU,5,3.5%,26,6,4.1%,4.4,7.8,0.5,4.5,0.5,19,-2.5,6,4.9,4,4.5%
BAL,6,3.0%,1,4,5.3%,11.0,1.0,-1.3,-3.4,7.5,9,8.4,29,-4.6,8,2.0%
CIN,7,2.6%,21,5,4.5%,1.0,2.9,8.6,-1.2,1.6,27,-10.8,31,-4.8,11,1.6%
WAS,8,2.5%,22,7,3.8%,9.2,2.8,-3.0,6.1,-2.6,17,-1.1,21,-2.2,7,2.1%
NO,9,1.7%,15,12,2.6%,6.8,-0.9,-0.2,5.3,-2.4,1,23.5,2,5.9,6,2.9%
ATL,10,1.4%,19,11,2.8%,12.0,-0.7,-2.4,1.0,-2.7,28,-11.3,14,2.1,10,1.8%
ARI,11,1.0%,28,10,2.8%,-5.1,2.6,-1.5,6.5,2.3,7,9.5,13,2.1,12,1.4%
IND,12,0.9%,8,17,0.9%,-1.9,-1.5,-1.1,9.1,0.1,26,-8.6,4,5.2,9,2.0%
TEN,13,0.8%,13,21,-0.3%,-1.8,-7.2,13.6,2.3,-2.8,23,-5.6,12,2.1,13,1.2%
SF,14,0.3%,11,9,2.8%,6.6,-0.4,1.7,0.0,-6.4,10,3.6,11,2.3,15,0.8%
PHI,15,0.2%,16,13,2.5%,-0.5,3.1,-2.6,6.4,-5.3,24,-6.7,24,-3.2,19,-0.4%
NE,16,0.1%,3,16,1.6%,0.1,-8.7,5.3,4.5,-0.6,8,8.5,30,-4.7,21,-0.8%
LAR,17,-0.2%,2,20,0.1%,-4.9,1.1,-3.0,3.4,2.6,6,10.4,7,4.7,14,0.8%
CAR,18,-0.2%,6,23,-1.3%,3.4,-1.2,-3.6,3.6,-3.1,30,-11.6,16,1.7,16,0.2%
MIN,19,-0.9%,18,15,2.0%,-15.2,-1.5,1.2,5.8,5.3,29,-11.4,8,3.1,18,-0.2%
DET,20,-0.9%,5,14,2.0%,0.2,2.6,-0.7,-3.1,-3.5,2,20.0,3,5.3,17,0.1%
MIA,21,-1.1%,12,30,-3.9%,1.9,-5.8,2.9,-10.5,6.0,3,11.8,9,2.9,20,-0.5%
OAK,22,-1.6%,17,19,0.5%,2.8,-4.4,0.1,-12.0,5.3,11,2.2,17,1.4,23,-1.3%
DAL,23,-2.1%,7,24,-1.8%,-2.6,-3.4,-0.8,-2.5,-1.1,21,-4.1,5,5.1,22,-1.1%
SEA,24,-2.2%,20,25,-2.9%,-0.8,-6.6,1.4,-2.2,-2.7,18,-1.7,19,-2.0,25,-2.6%
LAC,25,-2.8%,31,18,0.6%,-5.9,1.5,-3.2,-11.3,4.8,20,-3.4,18,0.2,26,-2.8%
CHI,26,-3.2%,23,27,-3.3%,-10.2,-1.5,-6.2,-2.5,4.4,32,-17.1,22,-2.2,27,-3.6%
PIT,27,-3.5%,9,26,-3.1%,-11.0,3.7,-4.2,-5.5,-0.5,12,1.2,23,-2.9,29,-4.1%
TB,28,-4.1%,29,28,-3.6%,-12.9,1.7,-2.2,-2.9,-4.0,25,-8.3,15,2.0,28,-3.7%
GB,29,-4.1%,14,29,-3.6%,-0.1,-4.5,-4.5,-2.1,-9.2,13,1.1,32,-5.0,31,-5.1%
CLE,30,-4.2%,27,22,-0.8%,-9.8,0.8,-5.3,-10.8,4.2,15,0.4,20,-2.2,30,-4.6%
DEN,31,-4.2%,30,31,-4.7%,0.3,-1.4,-6.4,-9.3,-4.3,4,11.4,1,9.8,24,-2.2%
BUF,32,-5.1%,10,32,-6.4%,-5.4,-1.6,-2.3,-9.1,-7.3,22,-5.2,28,-4.0,32,-5.9%
