Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
NE,1,8.1%,11,1,11.8%,5.6,5.2,-2.6,18.9,13.5,22,-5.2,27,-3.3,1,7.5%
BAL,2,7.4%,9,4,5.9%,10.6,6.4,8.9,9.4,1.5,4,12.5,32,-5.3,2,6.3%
SEA,3,6.8%,20,3,7.2%,14.0,6.3,1.2,13.9,-1.3,17,-1.6,26,-3.2,3,6.2%
BUF,4,5.9%,21,2,8.7%,1.2,10.0,6.5,3.8,8.0,25,-7.2,22,-1.5,4,5.6%
NO,5,3.6%,3,8,3.2%,-1.1,5.0,1.0,8.3,4.5,14,0.7,6,5.4,5,4.6%
MIA,6,3.3%,22,17,0.7%,12.5,7.9,-2.5,-5.3,4.0,2,15.7,14,3.8,6,4.1%
DAL,7,3.3%,30,5,5.3%,3.7,4.3,4.4,3.0,1.2,11,4.3,18,0.9,7,3.5%
CHI,8,2.6%,13,6,4.7%,7.0,2.7,7.9,-1.8,-2.9,10,5.3,21,-0.4,10,2.5%
CIN,9,2.6%,1,9,3.1%,-2.0,0.6,6.4,7.6,0.2,28,-9.5,23,-2.4,12,2.1%
IND,10,2.0%,16,15,1.0%,-3.9,2.0,8.0,-0.7,4.5,7,9.9,3,6.9,8,3.3%
DET,11,1.9%,10,12,2.6%,-5.4,-5.7,3.6,12.2,4.9,1,19.4,4,6.7,9,3.3%
NYG,12,1.7%,17,20,0.1%,14.0,-7.8,-3.4,2.5,3.4,30,-14.3,31,-5.2,15,0.7%
LV,13,1.5%,25,10,2.9%,4.0,0.0,-1.2,2.1,2.9,8,7.7,12,4.6,11,2.5%
PIT,14,1.3%,8,14,1.4%,6.7,1.7,0.1,-2.0,0.2,21,-4.3,30,-4.5,18,0.4%
WAS,15,1.1%,7,7,3.4%,-2.0,1.7,-1.3,17.9,-10.8,31,-14.8,28,-3.5,19,0.4%
CAR,16,0.8%,31,13,1.5%,-4.0,5.0,4.2,2.6,-3.7,27,-9.2,16,2.3,13,1.3%
KC,17,0.5%,2,11,2.6%,3.9,-4.4,7.6,0.8,-5.2,15,0.1,20,-0.3,16,0.5%
JAX,18,-0.1%,6,16,1.0%,-8.2,0.7,-5.3,6.2,6.1,3,15.4,15,2.7,20,0.4%
ARI,19,-0.6%,26,18,0.3%,-5.8,6.5,-4.0,3.2,-2.8,5,11.8,11,4.7,21,0.4%
ATL,20,-0.7%,28,19,0.1%,5.7,-4.1,-4.2,-2.1,1.5,23,-6.6,1,8.8,14,1.1%
HOU,21,-1.0%,5,22,-1.2%,-2.5,1.9,-4.7,2.1,-1.8,6,10.9,2,7.5,17,0.5%
PHI,22,-1.6%,19,24,-2.0%,-5.7,2.9,-4.3,-0.7,-0.4,32,-18.0,24,-2.7,25,-2.2%
SF,23,-2.1%,12,27,-3.0%,-1.5,-2.0,-5.0,2.0,-3.9,26,-9.0,8,5.3,22,-1.0%
DEN,24,-2.1%,24,21,-0.9%,5.1,-10.9,-4.3,-6.3,5.9,19,-3.2,9,5.1,23,-1.1%
GB,25,-2.7%,18,28,-3.8%,8.8,-2.7,-4.6,-11.8,-3.3,20,-3.8,19,-0.2,26,-2.8%
TB,26,-2.9%,27,26,-3.0%,-0.9,-5.5,-0.6,-5.4,-2.3,9,6.5,5,6.0,24,-1.7%
CLE,27,-3.7%,15,23,-1.9%,-5.8,-6.8,-0.4,-1.7,-3.6,18,-3.0,25,-3.1,28,-4.3%
TEN,28,-4.4%,29,25,-2.6%,-8.2,-1.4,-4.7,-8.5,0.8,12,4.3,7,5.3,27,-3.3%
NYJ,29,-5.3%,4,30,-5.5%,-10.0,-0.1,-4.0,-12.8,0.3,24,-6.7,29,-3.8,30,-6.1%
LAR,30,-6.0%,23,29,-5.2%,-7.5,-5.9,-2.7,-5.4,-8.3,29,-11.0,17,1.5,29,-5.7%
MIN,31,-9.4%,14,31,-11.1%,-15.5,-9.6,0.3,-13.7,-8.3,13,1.8,10,4.7,31,-8.4%
LAC,32,-11.8%,32,32,-12.4%,-12.4,-4.5,0.0,-37.8,-4.2,16,0.1,13,4.2,32,-11.0%
