Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
CIN,1,4.6%,7,2,6.1%,8.1,5.2,8.7,4.2,-3.2,29,-10.3,30,-5.7,5,3.5%
KC,2,4.1%,2,1,6.9%,8.1,6.1,4.2,-0.6,2.6,9,5.5,21,-1.7,3,3.8%
NO,3,3.6%,9,5,4.3%,8.4,-7.0,3.1,4.9,9.0,5,6.8,2,7.1,1,5.1%
NYJ,4,3.4%,1,3,4.7%,-4.8,6.5,0.6,10.1,4.7,16,1.3,32,-7.8,8,1.9%
HOU,5,2.9%,5,4,4.5%,-1.9,4.7,0.1,10.5,1.0,28,-7.6,13,3.4,4,3.6%
JAX,6,2.7%,4,7,3.6%,8.5,0.5,-2.4,12.2,-5.1,14,2.1,4,5.8,2,3.9%
WAS,7,2.7%,8,6,4.0%,1.2,2.5,6.8,4.8,-1.8,17,1.0,22,-3.0,7,2.1%
PIT,8,1.5%,27,9,2.7%,10.7,5.4,-5.5,-9.1,5.9,22,-3.6,25,-4.9,13,0.5%
BAL,9,1.5%,6,22,-0.4%,14.1,0.5,-1.4,-6.4,0.5,23,-3.7,31,-6.0,15,0.3%
DET,10,1.4%,20,13,2.0%,4.5,-14.0,4.5,8.3,4.0,3,9.2,8,4.5,6,2.3%
NE,11,1.2%,16,10,2.7%,-9.7,5.0,-0.9,10.5,1.2,4,6.9,29,-5.7,18,0.1%
SF,12,1.0%,14,11,2.5%,-5.7,0.5,1.3,6.4,2.4,24,-5.9,15,2.0,10,1.4%
CHI,13,0.9%,26,18,0.3%,-4.6,-3.5,7.5,2.0,3.3,13,2.2,19,-0.6,12,0.8%
MIN,14,0.8%,19,12,2.4%,4.1,0.0,-1.4,6.9,-5.7,20,-2.8,10,4.1,9,1.6%
CLE,15,0.8%,30,21,-0.3%,0.7,6.2,-1.4,1.4,-3.0,11,3.5,24,-3.2,16,0.1%
IND,16,0.4%,12,8,3.2%,-13.3,-1.3,-2.8,2.4,17.0,31,-11.7,12,3.8,11,1.2%
NYG,17,0.3%,3,14,1.2%,-9.7,5.8,0.5,2.5,2.4,19,-2.7,27,-5.1,19,-0.7%
GB,18,0.1%,29,17,0.3%,6.9,-0.4,-1.2,0.2,-4.8,26,-6.1,18,-0.2,17,0.1%
PHI,19,0.0%,15,15,0.7%,3.8,-3.6,-2.3,5.0,-3.1,32,-13.5,26,-5.0,21,-1.0%
SEA,20,-0.9%,24,16,0.5%,-0.1,-0.9,-2.1,-1.2,-0.5,10,4.9,23,-3.2,24,-1.6%
BUF,21,-1.2%,32,19,0.2%,3.2,-5.1,4.1,-9.4,1.2,1,15.5,28,-5.3,28,-2.3%
MIA,22,-1.3%,21,23,-0.7%,-1.3,-1.6,3.4,-2.8,-4.3,21,-3.5,20,-1.5,25,-1.6%
LAR,23,-1.5%,17,25,-1.4%,-2.9,-4.3,-1.3,2.2,-1.0,27,-6.4,14,2.1,20,-1.0%
DEN,24,-1.9%,31,20,0.2%,4.5,-4.0,3.3,-11.9,-1.4,18,-0.5,1,11.8,14,0.5%
OAK,25,-2.3%,22,28,-3.4%,-7.8,2.5,0.7,-5.5,-1.6,25,-6.0,16,1.1,27,-2.1%
ARI,26,-2.4%,11,26,-2.1%,0.4,0.6,-4.5,-9.8,1.4,15,1.9,9,4.4,23,-1.5%
TB,27,-2.8%,28,29,-3.4%,-3.7,4.7,-4.4,-3.6,-6.9,30,-11.3,11,4.0,26,-2.0%
ATL,28,-2.9%,10,24,-1.3%,-4.8,1.6,-1.1,-5.6,-4.3,8,5.9,3,7.0,22,-1.4%
TEN,29,-3.5%,13,27,-3.2%,-14.9,-2.9,-2.9,5.1,-1.7,6,6.3,5,5.6,29,-2.3%
DAL,30,-3.9%,23,30,-4.7%,1.7,-4.9,-7.1,-7.6,-1.8,12,2.6,17,0.5,31,-3.9%
CAR,31,-4.1%,18,31,-6.5%,1.9,3.0,-2.9,-17.3,-5.4,7,6.1,7,5.2,30,-3.1%
LAC,32,-5.1%,25,32,-6.7%,-5.6,-6.7,-3.3,-7.6,-2.5,2,13.3,6,5.2,32,-4.1%
